x,y,z,marker
9.868,-9.404,-35.297,0
10.014,-69.951,-46.79,1
-5.931,9.106,-24.309,2
-7.725,-96.411,-55.404,3
9.867,-9.41,-35.301,0
10.073,-70.015,-46.784,1
-5.924,9.099,-24.303,2
-7.734,-96.412,-55.409,3
9.871,-9.409,-35.294,0
10.095,-70.053,-46.754,1
-5.916,9.099,-24.297,2
-7.74,-96.411,-55.41,3
9.885,-9.411,-35.296,0
10.149,-70.095,-46.723,1
-5.897,9.106,-24.297,2
-7.742,-96.411,-55.41,3
9.885,-9.401,-35.299,0
10.25,-70.175,-46.744,1
-5.888,9.106,-24.298,2
-7.743,-96.41,-55.411,3
9.896,-9.403,-35.302,0
10.307,-70.164,-46.747,1
-5.879,9.111,-24.296,2
-7.746,-96.413,-55.412,3
9.889,-9.397,-35.306,0
10.366,-70.181,-46.736,1
-5.867,9.112,-24.295,2
-7.747,-96.412,-55.411,3
9.881,-9.388,-35.311,0
10.453,-70.197,-46.737,1
-5.861,9.11,-24.298,2
-7.747,-96.414,-55.41,3
9.883,-9.392,-35.315,0
10.481,-70.185,-46.722,1
-5.862,9.112,-24.296,2
-7.749,-96.419,-55.407,3
9.876,-9.39,-35.321,0
10.508,-70.215,-46.721,1
-5.866,9.113,-24.294,2
-7.752,-96.421,-55.404,3
9.869,-9.379,-35.328,0
10.583,-70.266,-46.716,1
-5.864,9.113,-24.292,2
-7.753,-96.422,-55.398,3
9.869,-9.365,-35.345,0
10.66,-70.28,-46.687,1
-5.855,9.115,-24.289,2
-7.749,-96.425,-55.392,3
9.852,-9.365,-35.36,0
10.664,-70.296,-46.656,1
-5.851,9.122,-24.287,2
-7.746,-96.427,-55.385,3
9.852,-9.362,-35.363,0
10.655,-70.309,-46.678,1
-5.857,9.126,-24.285,2
-7.754,-96.432,-55.379,3
9.825,-9.356,-35.382,0
10.671,-70.329,-46.687,1
-5.873,9.127,-24.282,2
-7.76,-96.434,-55.373,3
9.788,-9.323,-35.388,0
10.647,-70.344,-46.657,1
-5.889,9.129,-24.278,2
-7.759,-96.434,-55.363,3
9.793,-9.305,-35.394,0
10.692,-70.353,-46.627,1
-5.905,9.134,-24.27,2
-7.75,-96.429,-55.349,3
9.805,-9.274,-35.412,0
10.745,-70.377,-46.642,1
-5.907,9.13,-24.268,2
-7.74,-96.431,-55.337,3
9.799,-9.273,-35.411,0
10.735,-70.402,-46.619,1
-5.898,9.126,-24.267,2
-7.731,-96.44,-55.322,3
9.798,-9.26,-35.409,0
10.784,-70.42,-46.635,1
-5.897,9.127,-24.266,2
-7.73,-96.449,-55.314,3
9.801,-9.255,-35.405,0
10.794,-70.434,-46.619,1
-5.892,9.126,-24.264,2
-7.737,-96.447,-55.307,3
9.808,-9.26,-35.414,0
10.787,-70.446,-46.598,1
-5.898,9.128,-24.261,2
-7.737,-96.442,-55.299,3
9.791,-9.258,-35.423,0
10.829,-70.433,-46.606,1
-5.89,9.127,-24.261,2
-7.735,-96.442,-55.292,3
9.777,-9.254,-35.431,0
10.83,-70.443,-46.603,1
-5.877,9.127,-24.263,2
-7.736,-96.447,-55.284,3
9.789,-9.27,-35.434,0
10.82,-70.455,-46.598,1
-5.872,9.127,-24.264,2
-7.739,-96.463,-55.279,3
9.789,-9.28,-35.439,0
10.827,-70.45,-46.581,1
-5.86,9.127,-24.261,2
-7.742,-96.455,-55.272,3
9.774,-9.278,-35.454,0
10.829,-70.45,-46.568,1
-5.857,9.126,-24.259,2
-7.745,-96.456,-55.267,3
9.784,-9.28,-35.452,0
10.818,-70.446,-46.557,1
-5.848,9.128,-24.256,2
-7.752,-96.461,-55.267,3
9.794,-9.281,-35.452,0
10.827,-70.47,-46.541,1
-5.823,9.136,-24.257,2
-7.756,-96.456,-55.264,3
9.806,-9.28,-35.449,0
10.816,-70.475,-46.533,1
-5.819,9.135,-24.26,2
-7.757,-96.465,-55.261,3
9.818,-9.268,-35.45,0
10.813,-70.465,-46.53,1
-5.826,9.136,-24.262,2
-7.756,-96.467,-55.254,3
9.814,-9.266,-35.452,0
10.811,-70.467,-46.533,1
-5.831,9.135,-24.258,2
-7.767,-96.467,-55.258,3
9.827,-9.26,-35.444,0
10.808,-70.47,-46.53,1
-5.843,9.134,-24.254,2
-7.777,-96.464,-55.261,3
9.84,-9.274,-35.444,0
10.805,-70.467,-46.534,1
-5.84,9.13,-24.251,2
-7.782,-96.464,-55.263,3
9.833,-9.269,-35.439,0
10.796,-70.472,-46.532,1
-5.844,9.13,-24.249,2
-7.782,-96.467,-55.262,3
9.836,-9.267,-35.436,0
10.783,-70.476,-46.537,1
-5.844,9.131,-24.246,2
-7.785,-96.466,-55.262,3
9.843,-9.271,-35.431,0
10.771,-70.471,-46.525,1
-5.843,9.123,-24.246,2
-7.788,-96.461,-55.263,3
9.846,-9.274,-35.428,0
10.749,-70.473,-46.521,1
-5.856,9.118,-24.243,2
-7.79,-96.458,-55.262,3
9.85,-9.273,-35.422,0
10.731,-70.485,-46.532,1
-5.861,9.117,-24.24,2
-7.791,-96.462,-55.261,3
9.85,-9.268,-35.414,0
10.722,-70.474,-46.535,1
-5.882,9.114,-24.238,2
-7.792,-96.465,-55.259,3
9.848,-9.267,-35.413,0
10.692,-70.458,-46.532,1
-5.89,9.111,-24.234,2
-7.795,-96.464,-55.259,3
9.862,-9.252,-35.409,0
10.652,-70.463,-46.514,1
-5.911,9.103,-24.232,2
-7.795,-96.465,-55.259,3
9.853,-9.244,-35.401,0
10.63,-70.452,-46.522,1
-5.904,9.099,-24.23,2
-7.793,-96.468,-55.258,3
9.86,-9.247,-35.397,0
10.574,-70.465,-46.515,1
-5.894,9.095,-24.233,2
-7.791,-96.467,-55.257,3
9.868,-9.246,-35.388,0
10.564,-70.458,-46.52,1
-5.887,9.093,-24.234,2
-7.791,-96.469,-55.257,3
9.857,-9.239,-35.382,0
10.538,-70.45,-46.517,1
-5.877,9.087,-24.237,2
-7.791,-96.471,-55.258,3
9.869,-9.239,-35.38,0
10.473,-70.434,-46.505,1
-5.876,9.087,-24.237,2
-7.786,-96.471,-55.254,3
9.861,-9.226,-35.37,0
10.487,-70.422,-46.519,1
-5.868,9.084,-24.237,2
-7.777,-96.472,-55.248,3
9.869,-9.21,-35.366,0
10.469,-70.405,-46.516,1
-5.864,9.078,-24.24,2
-7.768,-96.472,-55.244,3
9.88,-9.201,-35.355,0
10.4,-70.406,-46.494,1
-5.854,9.078,-24.243,2
-7.765,-96.473,-55.243,3
9.868,-9.159,-35.34,0
10.361,-70.393,-46.487,1
-5.853,9.075,-24.247,2
-7.756,-96.475,-55.241,3
9.879,-9.135,-35.341,0
10.274,-70.421,-46.472,1
-5.838,9.07,-24.251,2
-7.751,-96.485,-55.243,3
9.905,-9.14,-35.311,0
10.212,-70.422,-46.482,1
-5.843,9.071,-24.251,2
-7.745,-96.483,-55.242,3
9.899,-9.137,-35.3,0
10.197,-70.42,-46.446,1
-5.846,9.07,-24.25,2
-7.735,-96.488,-55.239,3
9.906,-9.123,-35.305,0
10.191,-70.439,-46.435,1
-5.85,9.069,-24.251,2
-7.738,-96.497,-55.241,3
9.894,-9.105,-35.288,0
10.16,-70.414,-46.427,1
-5.855,9.069,-24.249,2
-7.735,-96.502,-55.242,3
9.895,-9.088,-35.283,0
10.145,-70.416,-46.436,1
-5.869,9.068,-24.248,2
-7.735,-96.51,-55.242,3
9.901,-9.095,-35.278,0
10.093,-70.421,-46.438,1
-5.865,9.066,-24.247,2
-7.735,-96.511,-55.243,3
9.894,-9.101,-35.283,0
10.057,-70.392,-46.404,1
-5.865,9.062,-24.247,2
-7.733,-96.509,-55.243,3
9.89,-9.102,-35.279,0
10.04,-70.379,-46.405,1
-5.86,9.059,-24.248,2
-7.735,-96.509,-55.245,3
9.9,-9.104,-35.271,0
10.015,-70.386,-46.387,1
-5.856,9.061,-24.249,2
-7.733,-96.513,-55.247,3
9.913,-9.119,-35.261,0
9.977,-70.392,-46.368,1
-5.848,9.06,-24.252,2
-7.737,-96.513,-55.251,3
9.904,-9.126,-35.256,0
9.922,-70.37,-46.363,1
-5.84,9.063,-24.252,2
-7.742,-96.523,-55.258,3
9.912,-9.129,-35.236,0
9.84,-70.388,-46.359,1
-5.815,9.066,-24.253,2
-7.749,-96.522,-55.262,3
9.916,-9.134,-35.214,0
9.831,-70.398,-46.361,1
-5.8,9.067,-24.252,2
-7.758,-96.527,-55.269,3
9.929,-9.161,-35.209,0
9.803,-70.378,-46.338,1
-5.76,9.071,-24.255,2
-7.765,-96.532,-55.276,3
9.926,-9.193,-35.193,0
9.795,-70.39,-46.345,1
-5.761,9.077,-24.257,2
-7.773,-96.532,-55.28,3
9.948,-9.225,-35.16,0
9.792,-70.379,-46.361,1
-5.759,9.078,-24.254,2
-7.783,-96.531,-55.284,3
9.955,-9.281,-35.111,0
9.76,-70.354,-46.346,1
-5.759,9.076,-24.25,2
-7.787,-96.534,-55.289,3
9.985,-9.334,-35.031,0
9.74,-70.307,-46.361,1
-5.769,9.076,-24.247,2
-7.792,-96.537,-55.294,3
10.003,-9.386,-34.97,0
9.735,-70.307,-46.36,1
-5.772,9.075,-24.245,2
-7.786,-96.549,-55.294,3
10.057,-9.443,-34.866,0
9.702,-70.316,-46.331,1
-5.775,9.071,-24.246,2
-7.79,-96.56,-55.298,3
10.056,-9.474,-34.768,0
9.702,-70.309,-46.326,1
-5.788,9.071,-24.245,2
-7.79,-96.56,-55.301,3
10.067,-9.584,-34.697,0
9.7,-70.297,-46.328,1
-5.794,9.074,-24.242,2
-7.788,-96.564,-55.301,3
10.144,-9.664,-34.548,0
9.664,-70.284,-46.328,1
-5.804,9.075,-24.24,2
-7.789,-96.57,-55.303,3
10.141,-9.706,-34.438,0
9.64,-70.272,-46.327,1
-5.808,9.073,-24.24,2
-7.79,-96.563,-55.305,3
10.132,-9.743,-34.345,0
9.59,-70.279,-46.321,1
-5.817,9.068,-24.243,2
-7.789,-96.56,-55.303,3
10.193,-9.833,-34.182,0
9.52,-70.245,-46.321,1
-5.813,9.065,-24.247,2
-7.787,-96.562,-55.302,3
10.219,-9.903,-34.043,0
9.505,-70.191,-46.32,1
-5.815,9.063,-24.252,2
-7.784,-96.561,-55.3,3
10.222,-10.029,-33.872,0
9.509,-70.181,-46.326,1
-5.806,9.064,-24.257,2
-7.781,-96.559,-55.299,3
10.23,-10.147,-33.722,0
9.532,-70.171,-46.338,1
-5.799,9.063,-24.263,2
-7.777,-96.558,-55.298,3
10.321,-10.294,-33.526,0
9.515,-70.157,-46.339,1
-5.791,9.065,-24.27,2
-7.775,-96.557,-55.297,3
10.316,-10.338,-33.347,0
9.483,-70.164,-46.355,1
-5.791,9.066,-24.279,2
-7.771,-96.554,-55.297,3
10.36,-10.431,-33.148,0
9.469,-70.164,-46.358,1
-5.791,9.067,-24.29,2
-7.767,-96.551,-55.299,3
10.36,-10.469,-32.94,0
9.414,-70.151,-46.362,1
-5.796,9.067,-24.301,2
-7.761,-96.553,-55.301,3
10.416,-10.588,-32.673,0
9.383,-70.12,-46.387,1
-5.797,9.066,-24.308,2
-7.755,-96.556,-55.305,3
10.402,-10.794,-32.464,0
9.35,-70.092,-46.385,1
-5.795,9.073,-24.319,2
-7.752,-96.556,-55.31,3
