x,y,z,marker
3.649,-25.384,-18.387,0
5.322,-70.214,-34.753,1
-7.876,1.547,-25.764,2
-9.199,-94.966,-46.301,3
3.644,-25.386,-18.388,0
5.309,-70.215,-34.761,1
-7.863,1.543,-25.765,2
-9.193,-94.969,-46.302,3
3.645,-25.39,-18.384,0
5.331,-70.224,-34.755,1
-7.847,1.545,-25.764,2
-9.19,-94.973,-46.309,3
3.647,-25.394,-18.389,0
5.335,-70.225,-34.759,1
-7.853,1.546,-25.763,2
-9.185,-94.978,-46.316,3
3.634,-25.401,-18.394,0
5.343,-70.227,-34.77,1
-7.849,1.546,-25.766,2
-9.182,-94.973,-46.31,3
3.627,-25.406,-18.395,0
5.325,-70.232,-34.78,1
-7.85,1.541,-25.764,2
-9.186,-94.971,-46.312,3
3.622,-25.41,-18.401,0
5.326,-70.222,-34.779,1
-7.853,1.542,-25.764,2
-9.193,-94.972,-46.311,3
3.604,-25.412,-18.43,0
5.333,-70.218,-34.784,1
-7.852,1.54,-25.765,2
-9.198,-94.973,-46.314,3
3.589,-25.415,-18.458,0
5.352,-70.219,-34.79,1
-7.864,1.54,-25.766,2
-9.201,-94.972,-46.319,3
3.591,-25.424,-18.47,0
5.362,-70.227,-34.788,1
-7.863,1.536,-25.768,2
-9.201,-94.977,-46.316,3
3.592,-25.428,-18.489,0
5.354,-70.224,-34.786,1
-7.864,1.534,-25.771,2
-9.203,-94.98,-46.308,3
3.585,-25.43,-18.492,0
5.363,-70.216,-34.794,1
-7.864,1.529,-25.77,2
-9.195,-94.982,-46.31,3
3.571,-25.43,-18.509,0
5.361,-70.207,-34.805,1
-7.859,1.526,-25.773,2
-9.194,-94.986,-46.314,3
3.581,-25.437,-18.517,0
5.353,-70.207,-34.813,1
-7.858,1.523,-25.776,2
-9.199,-94.989,-46.314,3
3.588,-25.434,-18.518,0
5.354,-70.205,-34.822,1
-7.86,1.524,-25.78,2
-9.195,-94.995,-46.316,3
3.564,-25.433,-18.535,0
5.368,-70.202,-34.821,1
-7.852,1.516,-25.784,2
-9.19,-94.996,-46.319,3
3.577,-25.432,-18.536,0
5.354,-70.213,-34.828,1
-7.847,1.515,-25.785,2
-9.182,-94.999,-46.32,3
3.594,-25.435,-18.536,0
5.357,-70.225,-34.838,1
-7.85,1.508,-25.781,2
-9.179,-95.004,-46.314,3
3.608,-25.436,-18.536,0
5.367,-70.222,-34.846,1
-7.84,1.511,-25.787,2
-9.175,-94.999,-46.308,3
3.615,-25.436,-18.537,0
5.388,-70.229,-34.859,1
-7.847,1.511,-25.787,2
-9.174,-95.003,-46.306,3
3.626,-25.435,-18.537,0
5.375,-70.226,-34.865,1
-7.851,1.509,-25.786,2
-9.162,-95.007,-46.306,3
3.635,-25.443,-18.538,0
5.367,-70.219,-34.855,1
-7.863,1.505,-25.785,2
-9.156,-95.017,-46.31,3
3.64,-25.443,-18.543,0
5.35,-70.227,-34.855,1
-7.884,1.509,-25.78,2
-9.145,-95.018,-46.32,3
3.642,-25.436,-18.545,0
5.329,-70.229,-34.853,1
-7.884,1.504,-25.779,2
-9.15,-95.017,-46.317,3
3.644,-25.442,-18.545,0
5.301,-70.226,-34.86,1
-7.909,1.504,-25.774,2
-9.151,-95.009,-46.319,3
3.651,-25.447,-18.552,0
5.281,-70.217,-34.852,1
-7.956,1.496,-25.768,2
-9.157,-95.006,-46.318,3
3.653,-25.446,-18.546,0
5.28,-70.212,-34.847,1
-7.947,1.498,-25.773,2
-9.158,-95.004,-46.323,3
3.658,-25.447,-18.54,0
5.289,-70.22,-34.835,1
-7.945,1.504,-25.774,2
-9.165,-95.002,-46.324,3
3.659,-25.452,-18.533,0
5.282,-70.225,-34.842,1
-7.947,1.498,-25.769,2
-9.168,-95.002,-46.322,3
3.656,-25.458,-18.533,0
5.285,-70.23,-34.835,1
-7.941,1.501,-25.772,2
-9.171,-95.001,-46.328,3
3.655,-25.462,-18.525,0
5.271,-70.222,-34.841,1
-7.948,1.499,-25.773,2
-9.175,-94.99,-46.335,3
3.651,-25.466,-18.521,0
5.269,-70.228,-34.837,1
-7.947,1.505,-25.773,2
-9.179,-94.991,-46.328,3
3.649,-25.471,-18.517,0
5.251,-70.221,-34.846,1
-7.944,1.509,-25.771,2
-9.188,-94.994,-46.328,3
3.663,-25.469,-18.516,0
5.234,-70.22,-34.843,1
-7.943,1.513,-25.771,2
-9.18,-94.986,-46.311,3
3.661,-25.476,-18.504,0
5.228,-70.214,-34.841,1
-7.936,1.519,-25.772,2
-9.186,-94.975,-46.316,3
3.661,-25.471,-18.502,0
5.209,-70.222,-34.847,1
-7.93,1.521,-25.777,2
-9.184,-94.973,-46.317,3
3.66,-25.471,-18.511,0
5.196,-70.235,-34.85,1
-7.923,1.521,-25.78,2
-9.195,-94.977,-46.317,3
3.662,-25.473,-18.516,0
5.185,-70.239,-34.85,1
-7.907,1.519,-25.784,2
-9.198,-94.978,-46.321,3
3.662,-25.475,-18.518,0
5.161,-70.244,-34.841,1
-7.894,1.518,-25.786,2
-9.201,-94.975,-46.325,3
3.67,-25.481,-18.526,0
5.17,-70.259,-34.834,1
-7.875,1.518,-25.789,2
-9.199,-94.976,-46.328,3
3.667,-25.492,-18.528,0
5.172,-70.263,-34.838,1
-7.865,1.524,-25.796,2
-9.191,-94.979,-46.332,3
3.67,-25.495,-18.532,0
5.184,-70.265,-34.837,1
-7.858,1.53,-25.799,2
-9.183,-94.981,-46.328,3
3.671,-25.505,-18.533,0
5.173,-70.26,-34.845,1
-7.855,1.538,-25.795,2
-9.175,-94.978,-46.329,3
3.684,-25.504,-18.524,0
5.158,-70.261,-34.857,1
-7.867,1.539,-25.794,2
-9.168,-94.987,-46.325,3
3.703,-25.512,-18.526,0
5.168,-70.252,-34.862,1
-7.864,1.541,-25.791,2
-9.149,-94.989,-46.322,3
3.694,-25.517,-18.522,0
5.174,-70.246,-34.866,1
-7.868,1.54,-25.789,2
-9.134,-94.991,-46.326,3
3.69,-25.517,-18.516,0
5.166,-70.254,-34.881,1
-7.865,1.538,-25.788,2
-9.114,-94.997,-46.33,3
3.68,-25.521,-18.511,0
5.182,-70.254,-34.89,1
-7.869,1.533,-25.785,2
-9.104,-95.002,-46.323,3
3.679,-25.526,-18.501,0
5.193,-70.248,-34.883,1
-7.872,1.533,-25.781,2
-9.111,-95.005,-46.32,3
3.687,-25.537,-18.485,0
5.201,-70.247,-34.876,1
-7.867,1.531,-25.778,2
-9.114,-95.007,-46.322,3
3.711,-25.534,-18.458,0
