x,y,z,marker
10.008,-14.708,-36.392,0
9.137,-69.99,-45.54,1
-7.174,5.323,-30.877,2
-7.286,-97.34,-55.245,3
10.019,-14.708,-36.37,0
9.094,-69.994,-45.558,1
-7.167,5.301,-30.874,2
-7.289,-97.339,-55.237,3
9.994,-14.69,-36.345,0
9.078,-69.983,-45.564,1
-7.179,5.305,-30.869,2
-7.291,-97.346,-55.232,3
9.994,-14.676,-36.33,0
9.086,-69.971,-45.58,1
-7.196,5.308,-30.869,2
-7.297,-97.348,-55.226,3
10.007,-14.657,-36.313,0
9.083,-69.954,-45.606,1
-7.217,5.303,-30.865,2
-7.296,-97.341,-55.217,3
10.024,-14.66,-36.275,0
9.097,-69.941,-45.62,1
-7.22,5.301,-30.866,2
-7.293,-97.342,-55.207,3
10.033,-14.644,-36.242,0
9.108,-69.913,-45.639,1
-7.239,5.299,-30.861,2
-7.292,-97.349,-55.2,3
10.067,-14.645,-36.22,0
9.097,-69.899,-45.653,1
-7.269,5.289,-30.853,2
-7.289,-97.349,-55.189,3
10.048,-14.636,-36.185,0
9.051,-69.895,-45.646,1
-7.282,5.294,-30.855,2
-7.292,-97.357,-55.184,3
10.04,-14.618,-36.152,0
9.056,-69.874,-45.649,1
-7.277,5.292,-30.864,2
-7.294,-97.358,-55.175,3
10.028,-14.606,-36.118,0
9.024,-69.87,-45.652,1
-7.268,5.29,-30.869,2
-7.29,-97.35,-55.166,3
10.05,-14.599,-36.115,0
9.033,-69.884,-45.664,1
-7.267,5.286,-30.87,2
-7.293,-97.357,-55.162,3
10.064,-14.604,-36.108,0
9.037,-69.893,-45.673,1
-7.267,5.287,-30.87,2
-7.286,-97.358,-55.152,3
10.063,-14.608,-36.06,0
9.029,-69.893,-45.68,1
-7.257,5.285,-30.875,2
-7.269,-97.371,-55.135,3
10.077,-14.59,-36.009,0
9.03,-69.888,-45.695,1
-7.248,5.288,-30.881,2
-7.253,-97.376,-55.121,3
10.081,-14.62,-35.978,0
9.026,-69.883,-45.716,1
-7.251,5.288,-30.892,2
-7.25,-97.376,-55.11,3
10.106,-14.619,-35.94,0
9.012,-69.864,-45.709,1
-7.243,5.292,-30.903,2
-7.248,-97.364,-55.101,3
10.11,-14.597,-35.912,0
8.995,-69.833,-45.721,1
-7.213,5.293,-30.916,2
-7.251,-97.36,-55.092,3
10.144,-14.585,-35.896,0
8.992,-69.818,-45.73,1
-7.207,5.299,-30.921,2
-7.252,-97.357,-55.084,3
10.146,-14.567,-35.878,0
8.987,-69.806,-45.719,1
-7.21,5.293,-30.939,2
-7.248,-97.355,-55.072,3
10.166,-14.571,-35.861,0
8.972,-69.8,-45.736,1
-7.217,5.292,-30.943,2
-7.254,-97.349,-55.068,3
10.165,-14.539,-35.837,0
8.969,-69.771,-45.759,1
-7.207,5.284,-30.945,2
-7.251,-97.355,-55.061,3
10.207,-14.557,-35.792,0
8.952,-69.737,-45.764,1
-7.194,5.277,-30.946,2
-7.251,-97.369,-55.055,3
10.232,-14.559,-35.755,0
8.946,-69.739,-45.782,1
-7.202,5.283,-30.948,2
-7.254,-97.37,-55.052,3
10.222,-14.557,-35.732,0
8.934,-69.747,-45.804,1
-7.211,5.283,-30.952,2
-7.25,-97.37,-55.045,3
10.195,-14.529,-35.699,0
8.878,-69.728,-45.822,1
-7.222,5.282,-30.956,2
-7.247,-97.375,-55.04,3
10.214,-14.513,-35.704,0
8.868,-69.7,-45.828,1
-7.228,5.29,-30.953,2
-7.25,-97.369,-55.037,3
10.221,-14.489,-35.68,0
8.885,-69.68,-45.843,1
-7.223,5.289,-30.953,2
-7.254,-97.373,-55.035,3
10.236,-14.484,-35.649,0
8.887,-69.663,-45.857,1
-7.222,5.279,-30.957,2
-7.262,-97.371,-55.035,3
10.253,-14.433,-35.609,0
8.889,-69.66,-45.866,1
-7.226,5.278,-30.962,2
-7.271,-97.369,-55.035,3
10.272,-14.431,-35.596,0
8.908,-69.644,-45.894,1
-7.232,5.274,-30.972,2
-7.275,-97.365,-55.033,3
10.324,-14.43,-35.559,0
8.914,-69.646,-45.898,1
-7.23,5.283,-30.973,2
-7.276,-97.362,-55.03,3
10.351,-14.389,-35.561,0
8.924,-69.624,-45.903,1
-7.238,5.282,-30.982,2
-7.278,-97.367,-55.026,3
10.335,-14.37,-35.557,0
8.935,-69.628,-45.93,1
-7.22,5.282,-30.988,2
-7.279,-97.367,-55.021,3
10.326,-14.351,-35.537,0
8.934,-69.629,-45.936,1
-7.194,5.279,-30.996,2
-7.278,-97.367,-55.017,3
10.31,-14.328,-35.531,0
8.936,-69.628,-45.933,1
-7.182,5.287,-31.002,2
-7.276,-97.361,-55.011,3
10.331,-14.314,-35.527,0
8.957,-69.618,-45.946,1
-7.174,5.279,-31.003,2
-7.278,-97.367,-55.01,3
10.337,-14.262,-35.503,0
8.956,-69.61,-45.957,1
-7.167,5.274,-30.996,2
-7.282,-97.37,-55.009,3
10.377,-14.238,-35.487,0
8.957,-69.601,-45.945,1
-7.18,5.266,-30.996,2
-7.281,-97.368,-55.003,3
10.36,-14.242,-35.498,0
8.958,-69.594,-45.95,1
-7.197,5.268,-30.991,2
-7.283,-97.37,-54.999,3
10.347,-14.238,-35.491,0
8.947,-69.587,-45.935,1
-7.221,5.263,-30.992,2
-7.282,-97.366,-54.995,3
10.356,-14.226,-35.484,0
8.947,-69.587,-45.946,1
-7.224,5.258,-30.99,2
-7.278,-97.368,-54.993,3
10.357,-14.217,-35.472,0
