x,y,z,marker
8.617,-17.412,-34.911,0
8.453,-81.929,-35.066,1
-6.624,5.667,-30.126,2
-11.267,-99.469,-51.623,3
8.616,-17.41,-34.912,0
8.439,-81.927,-35.079,1
-6.622,5.668,-30.129,2
-11.279,-99.464,-51.63,3
8.624,-17.409,-34.913,0
8.44,-81.941,-35.075,1
-6.614,5.668,-30.128,2
-11.284,-99.47,-51.628,3
8.623,-17.406,-34.918,0
8.444,-81.956,-35.068,1
-6.618,5.669,-30.131,2
-11.283,-99.469,-51.624,3
8.614,-17.403,-34.928,0
8.432,-81.951,-35.066,1
-6.612,5.666,-30.139,2
-11.28,-99.467,-51.623,3
8.621,-17.381,-34.934,0
8.425,-81.958,-35.057,1
-6.603,5.663,-30.143,2
-11.281,-99.464,-51.621,3
8.61,-17.384,-34.941,0
8.438,-81.96,-35.043,1
-6.617,5.661,-30.142,2
-11.278,-99.467,-51.623,3
8.602,-17.37,-34.952,0
8.446,-81.967,-35.037,1
-6.614,5.664,-30.144,2
-11.274,-99.467,-51.623,3
8.598,-17.361,-34.954,0
8.468,-81.989,-35.039,1
-6.607,5.658,-30.147,2
-11.269,-99.471,-51.622,3
8.604,-17.362,-34.953,0
8.481,-81.99,-35.031,1
-6.621,5.656,-30.147,2
-11.264,-99.474,-51.619,3
8.587,-17.36,-34.953,0
8.494,-81.983,-35.031,1
-6.615,5.654,-30.144,2
-11.26,-99.475,-51.617,3
8.575,-17.361,-34.951,0
8.514,-81.981,-35.028,1
-6.621,5.654,-30.146,2
-11.256,-99.475,-51.617,3
8.567,-17.362,-34.948,0
8.524,-81.976,-35.03,1
-6.618,5.657,-30.147,2
-11.251,-99.478,-51.61,3
8.561,-17.367,-34.944,0
8.504,-81.974,-35.039,1
-6.622,5.661,-30.146,2
-11.25,-99.485,-51.606,3
8.557,-17.371,-34.939,0
8.498,-81.966,-35.039,1
-6.623,5.657,-30.145,2
-11.246,-99.487,-51.6,3
8.561,-17.377,-34.942,0
8.497,-81.963,-35.034,1
-6.618,5.657,-30.147,2
-11.246,-99.485,-51.6,3
8.568,-17.376,-34.94,0
8.491,-81.96,-35.049,1
-6.626,5.66,-30.144,2
-11.243,-99.49,-51.6,3
8.586,-17.376,-34.939,0
8.488,-81.965,-35.054,1
-6.63,5.665,-30.143,2
-11.242,-99.491,-51.596,3
8.591,-17.374,-34.929,0
8.477,-81.962,-35.056,1
-6.624,5.666,-30.144,2
-11.24,-99.487,-51.589,3
8.592,-17.381,-34.922,0
8.477,-81.952,-35.065,1
-6.633,5.667,-30.144,2
-11.245,-99.485,-51.585,3
8.591,-17.391,-34.913,0
8.489,-81.949,-35.062,1
-6.655,5.67,-30.138,2
-11.246,-99.484,-51.584,3
8.583,-17.396,-34.902,0
8.491,-81.946,-35.061,1
-6.651,5.664,-30.14,2
-11.247,-99.482,-51.584,3
8.578,-17.388,-34.902,0
8.484,-81.946,-35.07,1
-6.656,5.655,-30.143,2
-11.247,-99.482,-51.584,3
8.581,-17.391,-34.91,0
8.479,-81.946,-35.068,1
-6.677,5.651,-30.142,2
-11.249,-99.482,-51.584,3
8.577,-17.4,-34.893,0
8.487,-81.947,-35.066,1
-6.686,5.647,-30.145,2
-11.254,-99.479,-51.588,3
8.565,-17.407,-34.887,0
8.486,-81.941,-35.075,1
-6.681,5.645,-30.145,2
-11.255,-99.478,-51.591,3
8.559,-17.41,-34.89,0
