x,y,z,marker
8.879,-14.061,-35.018,0
8.013,-99.556,-35.327,1
-7.796,5.39,-32.334,2
-10.343,-101.774,-50.609,3
8.879,-14.061,-35.02,0
8.065,-99.625,-35.248,1
-7.805,5.386,-32.334,2
-10.332,-101.77,-50.611,3
8.88,-14.057,-35.025,0
8.09,-99.611,-35.207,1
-7.816,5.386,-32.337,2
-10.322,-101.768,-50.618,3
8.876,-14.062,-35.024,0
8.066,-99.687,-35.214,1
-7.8,5.379,-32.341,2
-10.331,-101.759,-50.626,3
8.876,-14.061,-35.026,0
8.073,-99.75,-35.167,1
-7.788,5.379,-32.343,2
-10.328,-101.737,-50.622,3
8.878,-14.058,-35.03,0
8.122,-99.789,-35.151,1
-7.798,5.38,-32.345,2
-10.333,-101.737,-50.626,3
8.877,-14.055,-35.036,0
8.149,-99.815,-35.138,1
-7.773,5.386,-32.351,2
-10.333,-101.729,-50.621,3
8.878,-14.055,-35.043,0
8.194,-99.89,-35.098,1
-7.733,5.392,-32.369,2
-10.327,-101.717,-50.635,3
8.87,-14.04,-35.056,0
8.171,-99.914,-35.116,1
-7.728,5.407,-32.373,2
-10.329,-101.718,-50.633,3
8.872,-14.036,-35.063,0
8.216,-99.925,-35.087,1
-7.75,5.411,-32.378,2
-10.326,-101.7,-50.636,3
8.867,-14.034,-35.067,0
8.22,-99.946,-35.102,1
-7.737,5.412,-32.385,2
-10.321,-101.684,-50.632,3
8.851,-14.041,-35.076,0
8.269,-99.976,-35.113,1
-7.716,5.424,-32.404,2
-10.323,-101.66,-50.639,3
8.865,-14.029,-35.072,0
8.263,-100.006,-35.097,1
-7.721,5.426,-32.403,2
-10.335,-101.666,-50.637,3
8.856,-14.042,-35.075,0
8.247,-100.06,-35.064,1
-7.726,5.422,-32.409,2
-10.339,-101.667,-50.628,3
8.851,-14.046,-35.072,0
8.267,-100.097,-35.076,1
-7.706,5.421,-32.412,2
-10.333,-101.654,-50.627,3
8.855,-14.05,-35.07,0
8.28,-100.149,-35.048,1
-7.719,5.422,-32.412,2
-10.331,-101.649,-50.626,3
8.859,-14.049,-35.068,0
8.269,-100.165,-35.036,1
-7.728,5.421,-32.41,2
-10.322,-101.645,-50.626,3
8.87,-14.048,-35.068,0
