x,y,z,marker
9.295,-18.774,-35.687,0
7.653,-103.576,-36.568,1
-7.142,3.263,-22.458,2
-10.331,-110.131,-51.903,3
9.288,-18.776,-35.684,0
7.677,-103.558,-36.572,1
-7.113,3.264,-22.487,2
-10.315,-110.128,-51.898,3
9.271,-18.779,-35.683,0
7.71,-103.542,-36.56,1
-7.091,3.269,-22.52,2
-10.323,-110.115,-51.894,3
9.247,-18.774,-35.689,0
7.735,-103.521,-36.554,1
-7.07,3.271,-22.555,2
-10.335,-110.111,-51.897,3
9.221,-18.769,-35.687,0
7.764,-103.54,-36.554,1
-7.132,3.275,-22.58,2
-10.331,-110.104,-51.908,3
9.195,-18.766,-35.689,0
7.775,-103.541,-36.568,1
-7.128,3.286,-22.623,2
-10.327,-110.113,-51.899,3
9.159,-18.768,-35.687,0
7.769,-103.533,-36.567,1
-7.14,3.294,-22.662,2
-10.324,-110.103,-51.896,3
9.137,-18.767,-35.663,0
7.759,-103.532,-36.582,1
-7.146,3.299,-22.697,2
-10.327,-110.101,-51.892,3
9.122,-18.766,-35.637,0
7.755,-103.52,-36.616,1
-7.08,3.301,-22.733,2
-10.331,-110.092,-51.897,3
9.084,-18.8,-35.619,0
7.748,-103.51,-36.62,1
-7.043,3.305,-22.768,2
-10.328,-110.089,-51.897,3
9.034,-18.821,-35.605,0
7.747,-103.515,-36.614,1
-7.017,3.314,-22.805,2
-10.33,-110.087,-51.896,3
8.994,-18.834,-35.596,0
7.755,-103.524,-36.622,1
-7.033,3.332,-22.834,2
-10.321,-110.077,-51.889,3
8.939,-18.852,-35.574,0
7.77,-103.503,-36.622,1
-7.083,3.338,-22.849,2
-10.329,-110.07,-51.895,3
8.948,-18.843,-35.535,0
7.802,-103.485,-36.62,1
-7.089,3.357,-22.877,2
-10.333,-110.08,-51.901,3
8.875,-18.821,-35.548,0
7.835,-103.484,-36.641,1
-7.109,3.362,-22.905,2
-10.333,-110.085,-51.906,3
8.86,-18.841,-35.537,0
7.839,-103.475,-36.676,1
-7.087,3.363,-22.945,2
-10.343,-110.089,-51.92,3
8.868,-18.873,-35.517,0
7.86,-103.449,-36.66,1
-7.058,3.377,-22.977,2
-10.341,-110.095,-51.928,3
8.868,-18.9,-35.482,0
7.915,-103.443,-36.675,1
-7.013,3.386,-23.011,2
-10.353,-110.097,-51.929,3
8.866,-18.888,-35.469,0
7.954,-103.431,-36.703,1
-7.086,3.384,-23.017,2
-10.351,-110.1,-51.937,3
8.867,-18.888,-35.447,0
7.97,-103.421,-36.72,1
-7.134,3.39,-23.027,2
-10.366,-110.111,-51.965,3
8.879,-18.885,-35.423,0
7.967,-103.4,-36.727,1
-7.165,3.395,-23.041,2
-10.376,-110.121,-51.971,3
8.886,-18.89,-35.413,0
7.957,-103.388,-36.745,1
-7.184,3.401,-23.057,2
-10.389,-110.118,-51.972,3
8.903,-18.89,-35.384,0
7.979,-103.379,-36.755,1
-7.219,3.401,-23.072,2
-10.394,-110.116,-51.966,3
8.889,-18.897,-35.354,0
8.013,-103.383,-36.768,1
-7.229,3.408,-23.086,2
-10.405,-110.112,-51.961,3
8.878,-18.926,-35.316,0
8.031,-103.31,-36.74,1
-7.193,3.411,-23.107,2
-10.416,-110.099,-51.964,3
8.847,-18.954,-35.3,0
8.033,-103.32,-36.747,1
-7.153,3.419,-23.13,2
-10.422,-110.102,-51.966,3
8.824,-18.985,-35.285,0
8.044,-103.296,-36.766,1
-7.117,3.425,-23.156,2
-10.419,-110.093,-51.974,3
8.811,-19.002,-35.232,0
8.021,-103.268,-36.798,1
-7.117,3.432,-23.177,2
-10.406,-110.119,-51.964,3
8.782,-19.019,-35.19,0
8.037,-103.241,-36.804,1
-7.14,3.442,-23.194,2
-10.391,-110.116,-51.969,3
8.765,-19.019,-35.153,0
8.073,-103.179,-36.757,1
-7.091,3.461,-23.223,2
-10.374,-110.122,-51.957,3
8.765,-19.05,-35.11,0
8.095,-103.15,-36.772,1
-7.061,3.473,-23.249,2
-10.36,-110.133,-51.958,3
8.774,-19.054,-35.099,0
8.147,-103.109,-36.787,1
-7.107,3.484,-23.267,2
-10.357,-110.139,-51.958,3
8.783,-19.084,-35.067,0
8.164,-103.089,-36.805,1
-7.105,3.492,-23.287,2
-10.333,-110.142,-51.949,3
8.731,-19.147,-35.07,0
8.16,-103.057,-36.811,1
-7.144,3.505,-23.295,2
-10.317,-110.139,-51.941,3
8.69,-19.194,-35.027,0
8.173,-102.961,-36.777,1
-7.112,3.515,-23.32,2
-10.314,-110.138,-51.936,3
8.648,-19.245,-34.961,0
8.167,-102.891,-36.731,1
-7.135,3.537,-23.335,2
-10.317,-110.137,-51.932,3
8.644,-19.256,-34.952,0
8.195,-102.837,-36.687,1
-7.142,3.546,-23.356,2
-10.301,-110.14,-51.927,3
8.617,-19.257,-34.944,0
8.313,-102.809,-36.739,1
-7.169,3.561,-23.372,2
-10.28,-110.144,-51.916,3
8.58,-19.279,-34.942,0
8.329,-102.674,-36.749,1
-7.116,3.57,-23.397,2
-10.273,-110.139,-51.917,3
8.576,-19.292,-34.937,0
8.413,-102.65,-36.785,1
-7.091,3.587,-23.416,2
-10.274,-110.145,-51.913,3
8.564,-19.354,-34.905,0
8.375,-102.536,-36.723,1
-7.081,3.61,-23.434,2
-10.275,-110.145,-51.908,3
8.58,-19.368,-34.895,0
8.345,-102.501,-36.694,1
-7.089,3.629,-23.449,2
-10.283,-110.145,-51.914,3
8.534,-19.417,-34.846,0
