x,y,z,marker
8.115,-25.357,-34.028,0
7.916,-81.219,-35.57,1
-7.221,2.811,-35.324,2
-3.523,-98.697,-33.887,3
8.085,-25.363,-34.054,0
7.923,-81.223,-35.576,1
-7.232,2.815,-35.315,2
-3.533,-98.697,-33.892,3
8.091,-25.366,-34.066,0
7.927,-81.231,-35.567,1
-7.248,2.816,-35.31,2
-3.526,-98.707,-33.88,3
8.097,-25.38,-34.075,0
7.932,-81.231,-35.576,1
-7.281,2.831,-35.295,2
-3.548,-98.703,-33.883,3
8.135,-25.374,-34.065,0
7.936,-81.229,-35.565,1
-7.294,2.841,-35.29,2
-3.536,-98.714,-33.868,3
8.172,-25.379,-34.046,0
7.942,-81.226,-35.564,1
-7.288,2.839,-35.287,2
-3.477,-98.714,-33.865,3
8.186,-25.365,-34.05,0
7.957,-81.22,-35.561,1
-7.28,2.829,-35.284,2
-3.428,-98.719,-33.862,3
8.18,-25.37,-34.07,0
7.963,-81.217,-35.554,1
-7.268,2.829,-35.283,2
-3.464,-98.692,-33.859,3
8.193,-25.36,-34.075,0
7.981,-81.226,-35.55,1
-7.256,2.831,-35.289,2
-3.476,-98.691,-33.865,3
8.219,-25.372,-34.085,0
7.98,-81.238,-35.547,1
-7.246,2.835,-35.292,2
-3.472,-98.691,-33.861,3
8.215,-25.384,-34.099,0
7.993,-81.234,-35.527,1
-7.241,2.83,-35.294,2
-3.48,-98.676,-33.862,3
8.211,-25.382,-34.122,0
7.988,-81.23,-35.529,1
-7.233,2.828,-35.297,2
-3.467,-98.678,-33.869,3
8.222,-25.386,-34.138,0
7.992,-81.231,-35.529,1
-7.218,2.828,-35.305,2
-3.496,-98.679,-33.866,3
8.231,-25.384,-34.142,0
7.992,-81.227,-35.525,1
-7.205,2.827,-35.304,2
-3.487,-98.683,-33.858,3
8.252,-25.379,-34.173,0
7.983,-81.229,-35.527,1
-7.208,2.834,-35.309,2
-3.512,-98.66,-33.87,3
8.233,-25.371,-34.195,0
7.977,-81.229,-35.538,1
-7.195,2.837,-35.31,2
-3.497,-98.674,-33.865,3
8.227,-25.368,-34.198,0
7.977,-81.237,-35.527,1
-7.173,2.834,-35.308,2
-3.503,-98.687,-33.85,3
8.231,-25.36,-34.215,0
7.987,-81.24,-35.523,1
-7.17,2.847,-35.299,2
-3.491,-98.688,-33.848,3
8.225,-25.357,-34.225,0
7.985,-81.236,-35.534,1
-7.182,2.852,-35.299,2
-3.494,-98.683,-33.85,3
8.24,-25.337,-34.214,0
7.989,-81.236,-35.537,1
-7.182,2.859,-35.298,2
-3.472,-98.684,-33.851,3
8.233,-25.317,-34.239,0
7.984,-81.24,-35.536,1
-7.18,2.86,-35.301,2
-3.473,-98.684,-33.861,3
8.206,-25.314,-34.246,0
7.973,-81.244,-35.535,1
-7.179,2.866,-35.297,2
-3.447,-98.693,-33.859,3
8.189,-25.32,-34.265,0
7.98,-81.237,-35.529,1
-7.179,2.869,-35.287,2
-3.42,-98.707,-33.854,3
8.2,-25.298,-34.26,0
7.963,-81.231,-35.533,1
-7.19,2.875,-35.282,2
-3.388,-98.712,-33.858,3
8.195,-25.279,-34.266,0
7.962,-81.235,-35.533,1
-7.206,2.879,-35.283,2
-3.407,-98.717,-33.854,3
8.184,-25.281,-34.268,0
7.967,-81.24,-35.526,1
-7.204,2.879,-35.286,2
-3.401,-98.722,-33.861,3
8.181,-25.291,-34.284,0
7.971,-81.242,-35.525,1
-7.209,2.874,-35.29,2
-3.424,-98.699,-33.878,3
