x,y,z,marker
6.836,-5.48,-35.579,0
6.47,-92.964,-37.534,1
-8.024,6.21,-27.43,2
-9.586,-107.544,-49.056,3
6.858,-5.463,-35.573,0
6.465,-92.995,-37.501,1
-8.024,6.211,-27.428,2
-9.566,-107.54,-49.054,3
6.86,-5.466,-35.576,0
6.467,-93.013,-37.48,1
-8.008,6.209,-27.428,2
-9.576,-107.525,-49.061,3
6.869,-5.449,-35.578,0
6.485,-93.073,-37.443,1
-8.015,6.208,-27.43,2
-9.585,-107.52,-49.064,3
6.89,-5.424,-35.571,0
6.493,-93.14,-37.401,1
-8.03,6.21,-27.429,2
-9.589,-107.51,-49.06,3
6.892,-5.385,-35.575,0
6.492,-93.158,-37.346,1
-8.037,6.206,-27.426,2
-9.58,-107.516,-49.052,3
6.88,-5.396,-35.578,0
6.44,-93.18,-37.345,1
-8.038,6.208,-27.421,2
-9.585,-107.514,-49.059,3
6.872,-5.398,-35.579,0
6.428,-93.219,-37.31,1
-8.035,6.208,-27.419,2
-9.579,-107.521,-49.063,3
6.887,-5.387,-35.577,0
6.42,-93.29,-37.294,1
-8.045,6.21,-27.415,2
-9.579,-107.521,-49.062,3
6.885,-5.38,-35.591,0
6.435,-93.279,-37.276,1
-8.044,6.208,-27.415,2
-9.574,-107.53,-49.068,3
6.907,-5.377,-35.589,0
6.433,-93.343,-37.259,1
-8.057,6.202,-27.411,2
-9.568,-107.529,-49.069,3
6.934,-5.376,-35.587,0
6.404,-93.425,-37.246,1
-8.048,6.207,-27.407,2
-9.566,-107.523,-49.072,3
6.935,-5.373,-35.594,0
6.378,-93.402,-37.238,1
-8.031,6.205,-27.408,2
-9.57,-107.516,-49.081,3
6.922,-5.365,-35.598,0
6.363,-93.409,-37.234,1
-8.026,6.207,-27.405,2
-9.542,-107.521,-49.076,3
6.916,-5.353,-35.604,0
6.362,-93.47,-37.221,1
-8.023,6.206,-27.404,2
-9.536,-107.512,-49.087,3
6.931,-5.355,-35.602,0
6.353,-93.468,-37.21,1
-8.023,6.208,-27.401,2
-9.523,-107.513,-49.085,3
6.94,-5.35,-35.607,0
6.336,-93.482,-37.208,1
-8.028,6.208,-27.398,2
-9.504,-107.514,-49.081,3
6.938,-5.354,-35.608,0
6.287,-93.484,-37.191,1
-8.014,6.212,-27.397,2
-9.506,-107.519,-49.088,3
6.938,-5.341,-35.605,0
6.326,-93.486,-37.177,1
-8.013,6.211,-27.398,2
-9.513,-107.52,-49.093,3
6.941,-5.328,-35.613,0
6.316,-93.543,-37.158,1
-8.021,6.215,-27.392,2
-9.518,-107.519,-49.098,3
6.934,-5.319,-35.618,0
6.334,-93.539,-37.145,1
-7.997,6.223,-27.391,2
-9.525,-107.519,-49.099,3
6.936,-5.322,-35.62,0
6.341,-93.551,-37.124,1
-7.984,6.235,-27.387,2
-9.536,-107.517,-49.107,3
6.933,-5.307,-35.623,0
6.354,-93.552,-37.111,1
-8,6.237,-27.385,2
-9.55,-107.514,-49.112,3
6.93,-5.311,-35.627,0
6.382,-93.599,-37.101,1
-7.997,6.24,-27.384,2
-9.555,-107.501,-49.133,3
6.936,-5.312,-35.624,0
6.367,-93.602,-37.091,1
-7.976,6.242,-27.388,2
-9.555,-107.506,-49.135,3
6.926,-5.314,-35.626,0
6.358,-93.582,-37.084,1
-7.97,6.243,-27.393,2
-9.567,-107.5,-49.15,3
6.92,-5.313,-35.63,0
6.359,-93.584,-37.066,1
-7.972,6.243,-27.393,2
-9.568,-107.501,-49.152,3
6.92,-5.314,-35.633,0
6.357,-93.591,-37.051,1
-7.949,6.241,-27.399,2
-9.584,-107.499,-49.156,3
6.929,-5.317,-35.631,0
6.34,-93.624,-37.045,1
-7.95,6.243,-27.4,2
-9.59,-107.489,-49.162,3
6.933,-5.317,-35.636,0
6.329,-93.658,-37.027,1
-7.952,6.242,-27.402,2
-9.578,-107.473,-49.175,3
6.931,-5.313,-35.639,0
6.339,-93.665,-37.006,1
-7.96,6.241,-27.401,2
-9.589,-107.476,-49.174,3
6.931,-5.316,-35.634,0
6.355,-93.699,-36.999,1
-7.952,6.245,-27.406,2
-9.593,-107.472,-49.172,3
6.931,-5.318,-35.633,0
6.373,-93.726,-36.984,1
-7.953,6.248,-27.403,2
-9.601,-107.478,-49.18,3
6.936,-5.326,-35.632,0
6.355,-93.803,-36.981,1
-7.95,6.249,-27.402,2
-9.598,-107.487,-49.177,3
6.935,-5.329,-35.636,0
6.354,-93.82,-36.966,1
-7.93,6.251,-27.408,2
-9.597,-107.492,-49.174,3
6.937,-5.327,-35.639,0
6.358,-93.846,-36.958,1
-7.934,6.256,-27.405,2
-9.596,-107.491,-49.172,3
6.935,-5.33,-35.645,0
6.394,-93.858,-36.951,1
-7.919,6.257,-27.404,2
-9.579,-107.491,-49.166,3
6.935,-5.334,-35.644,0
6.396,-93.865,-36.925,1
-7.935,6.254,-27.402,2
-9.576,-107.488,-49.169,3
6.935,-5.333,-35.643,0
6.414,-93.922,-36.897,1
-7.946,6.254,-27.397,2
-9.579,-107.487,-49.169,3
6.938,-5.334,-35.647,0
6.405,-93.935,-36.886,1
-7.958,6.258,-27.391,2
-9.575,-107.488,-49.165,3
6.955,-5.337,-35.646,0
6.383,-93.933,-36.882,1
-7.969,6.264,-27.385,2
