p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
8.971,-3.292,-34.79,8.902,-82.119,-34.861,-7.423,14.84,-21.827,-10.104,-101.485,-46.636
8.964,-3.289,-34.776,8.882,-82.12,-34.869,-7.436,14.842,-21.824,-10.082,-101.496,-46.624
8.961,-3.291,-34.803,8.884,-82.145,-34.843,-7.437,14.843,-21.821,-10.075,-101.5,-46.627
8.959,-3.287,-34.834,8.875,-82.168,-34.853,-7.436,14.842,-21.823,-10.073,-101.5,-46.62
8.952,-3.277,-34.787,8.851,-82.167,-34.88,-7.435,14.843,-21.82,-10.079,-101.498,-46.611
8.945,-3.27,-34.781,8.836,-82.158,-34.832,-7.438,14.845,-21.82,-10.081,-101.499,-46.603
8.927,-3.256,-34.774,8.846,-82.157,-34.858,-7.447,14.848,-21.817,-10.087,-101.499,-46.602
8.93,-3.25,-34.777,8.853,-82.153,-34.852,-7.446,14.848,-21.817,-10.087,-101.496,-46.603
8.936,-3.247,-34.751,8.857,-82.158,-34.863,-7.458,14.853,-21.813,-10.09,-101.495,-46.607
8.941,-3.25,-34.74,8.846,-82.159,-34.882,-7.452,14.854,-21.816,-10.094,-101.487,-46.61
8.939,-3.247,-34.761,8.841,-82.163,-34.87,-7.446,14.861,-21.816,-10.088,-101.486,-46.608
8.943,-3.238,-34.762,8.833,-82.177,-34.862,-7.458,14.864,-21.816,-10.082,-101.487,-46.612
8.953,-3.242,-34.768,8.83,-82.193,-34.853,-7.45,14.866,-21.817,-10.085,-101.488,-46.615
8.958,-3.248,-34.747,8.834,-82.197,-34.864,-7.444,14.87,-21.817,-10.104,-101.49,-46.625
8.965,-3.25,-34.726,8.826,-82.187,-34.846,-7.449,14.871,-21.816,-10.108,-101.49,-46.628
8.968,-3.242,-34.756,8.833,-82.194,-34.828,-7.444,14.873,-21.819,-10.114,-101.483,-46.632
8.974,-3.238,-34.751,8.816,-82.2,-34.839,-7.456,14.878,-21.814,-10.142,-101.487,-46.634
8.976,-3.235,-34.775,8.811,-82.187,-34.877,-7.462,14.878,-21.815,-10.145,-101.491,-46.632
8.991,-3.235,-34.743,8.8,-82.187,-34.913,-7.456,14.882,-21.812,-10.145,-101.493,-46.632
8.988,-3.229,-34.747,8.801,-82.174,-34.916,-7.452,14.884,-21.811,-10.167,-101.495,-46.619
8.971,-3.227,-34.732,8.801,-82.161,-34.914,-7.452,14.884,-21.81,-10.177,-101.487,-46.615
8.962,-3.229,-34.747,8.792,-82.156,-34.92,-7.461,14.883,-21.81,-10.17,-101.495,-46.614
8.954,-3.22,-34.756,8.806,-82.148,-34.934,-7.468,14.889,-21.803,-10.169,-101.502,-46.612
8.951,-3.215,-34.749,8.805,-82.14,-34.941,-7.472,14.897,-21.798,-10.162,-101.505,-46.611
8.951,-3.212,-34.741,8.83,-82.128,-34.955,-7.467,14.901,-21.793,-10.151,-101.508,-46.61
8.948,-3.212,-34.75,8.823,-82.055,-34.992,-7.456,14.911,-21.788,-10.138,-101.514,-46.612
8.942,-3.217,-34.754,8.803,-82.047,-35.038,-7.483,14.927,-21.769,-10.113,-101.524,-46.614
8.942,-3.23,-34.762,8.826,-82.024,-35.094,-7.474,14.936,-21.765,-10.089,-101.546,-46.607
8.95,-3.253,-34.787,8.818,-81.954,-35.137,-7.488,14.941,-21.763,-10.097,-101.554,-46.604
8.944,-3.268,-34.755,8.847,-81.874,-35.215,-7.49,14.949,-21.755,-10.098,-101.546,-46.599
8.956,-3.27,-34.73,8.86,-81.872,-35.272,-7.49,14.959,-21.752,-10.113,-101.551,-46.595
8.952,-3.273,-34.738,8.777,-81.822,-35.388,-7.468,14.969,-21.747,-10.12,-101.558,-46.591
8.966,-3.299,-34.727,8.829,-81.748,-35.431,-7.502,14.973,-21.745,-10.122,-101.567,-46.591
8.974,-3.328,-34.706,8.839,-81.687,-35.489,-7.498,14.966,-21.75,-10.131,-101.577,-46.576
8.976,-3.345,-34.707,8.784,-81.595,-35.563,-7.509,14.967,-21.749,-10.134,-101.587,-46.561
8.977,-3.37,-34.69,8.734,-81.524,-35.627,-7.514,14.964,-21.75,-10.123,-101.588,-46.548
8.988,-3.375,-34.692,8.727,-81.475,-35.695,-7.502,14.961,-21.755,-10.129,-101.594,-46.539
8.988,-3.366,-34.674,8.717,-81.448,-35.774,-7.486,14.956,-21.758,-10.133,-101.595,-46.538
