p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
4.768,-26.635,-33.932,5.253,-77.509,-35.321,-8.251,0.048,-30.562,-10.234,-95.888,-49.695
4.742,-26.615,-33.931,5.264,-77.51,-35.326,-8.241,0.048,-30.571,-10.265,-95.889,-49.698
4.709,-26.616,-33.949,5.26,-77.515,-35.33,-8.243,0.056,-30.573,-10.274,-95.878,-49.698
4.677,-26.611,-33.955,5.291,-77.516,-35.321,-8.246,0.052,-30.57,-10.293,-95.866,-49.706
4.694,-26.611,-33.965,5.289,-77.508,-35.303,-8.248,0.049,-30.571,-10.286,-95.872,-49.704
4.688,-26.606,-33.972,5.31,-77.522,-35.304,-8.233,0.052,-30.575,-10.279,-95.873,-49.7
4.693,-26.606,-33.98,5.334,-77.517,-35.304,-8.24,0.052,-30.571,-10.274,-95.876,-49.701
4.699,-26.609,-33.984,5.355,-77.527,-35.288,-8.238,0.056,-30.57,-10.263,-95.884,-49.705
4.711,-26.615,-33.988,5.367,-77.518,-35.285,-8.219,0.056,-30.579,-10.253,-95.891,-49.707
4.719,-26.614,-34.004,5.364,-77.519,-35.278,-8.209,0.06,-30.578,-10.239,-95.896,-49.714
4.729,-26.617,-34.018,5.361,-77.518,-35.274,-8.205,0.063,-30.571,-10.221,-95.899,-49.72
4.746,-26.618,-34.03,5.349,-77.518,-35.265,-8.183,0.081,-30.577,-10.199,-95.917,-49.72
4.762,-26.616,-34.037,5.359,-77.516,-35.256,-8.155,0.079,-30.584,-10.205,-95.928,-49.729
4.777,-26.618,-34.052,5.374,-77.522,-35.254,-8.169,0.079,-30.576,-10.203,-95.928,-49.737
4.805,-26.611,-34.074,5.378,-77.52,-35.257,-8.18,0.083,-30.572,-10.189,-95.933,-49.747
4.844,-26.615,-34.079,5.393,-77.517,-35.246,-8.188,0.079,-30.57,-10.169,-95.934,-49.758
4.879,-26.619,-34.097,5.376,-77.517,-35.247,-8.188,0.077,-30.568,-10.163,-95.921,-49.766
4.905,-26.645,-34.124,5.371,-77.523,-35.247,-8.194,0.076,-30.564,-10.156,-95.912,-49.764
4.933,-26.646,-34.156,5.37,-77.533,-35.243,-8.206,0.073,-30.563,-10.158,-95.916,-49.769
4.928,-26.638,-34.171,5.368,-77.538,-35.239,-8.197,0.076,-30.567,-10.147,-95.917,-49.777
4.922,-26.629,-34.184,5.364,-77.543,-35.245,-8.208,0.072,-30.561,-10.152,-95.913,-49.787
4.909,-26.618,-34.188,5.375,-77.545,-35.228,-8.226,0.07,-30.555,-10.162,-95.905,-49.791
4.93,-26.619,-34.197,5.38,-77.545,-35.219,-8.207,0.068,-30.556,-10.166,-95.907,-49.793
4.925,-26.625,-34.225,5.361,-77.531,-35.207,-8.2,0.071,-30.554,-10.169,-95.911,-49.799
4.906,-26.635,-34.242,5.353,-77.521,-35.205,-8.201,0.067,-30.55,-10.178,-95.901,-49.808
4.888,-26.636,-34.281,5.324,-77.524,-35.209,-8.191,0.07,-30.547,-10.179,-95.902,-49.816
4.911,-26.61,-34.29,5.283,-77.518,-35.209,-8.194,0.066,-30.546,-10.175,-95.902,-49.822
4.889,-26.603,-34.315,5.257,-77.522,-35.203,-8.205,0.063,-30.541,-10.168,-95.903,-49.835
4.886,-26.603,-34.345,5.242,-77.525,-35.185,-8.21,0.057,-30.537,-10.16,-95.899,-49.85
4.832,-26.58,-34.405,5.221,-77.522,-35.181,-8.194,0.062,-30.54,-10.155,-95.895,-49.863
4.813,-26.561,-34.43,5.157,-77.505,-35.177,-8.198,0.061,-30.538,-10.14,-95.894,-49.866
4.794,-26.537,-34.438,5.134,-77.502,-35.181,-8.194,0.062,-30.534,-10.133,-95.883,-49.876
