p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
7.372,-7.277,-31.825,6.476,-92.971,-36.55,-8.122,10.383,-24.458,-6.939,-100.703,-43.828
7.364,-7.271,-31.822,6.46,-92.975,-36.549,-8.125,10.385,-24.455,-6.928,-100.706,-43.832
7.363,-7.262,-31.822,6.45,-92.965,-36.545,-8.126,10.386,-24.454,-6.918,-100.704,-43.83
7.369,-7.263,-31.818,6.443,-92.958,-36.544,-8.135,10.385,-24.453,-6.903,-100.7,-43.827
7.367,-7.271,-31.819,6.441,-92.96,-36.542,-8.138,10.381,-24.455,-6.882,-100.694,-43.825
7.37,-7.277,-31.814,6.431,-92.954,-36.541,-8.151,10.379,-24.46,-6.879,-100.681,-43.828
7.371,-7.283,-31.812,6.414,-92.922,-36.537,-8.143,10.381,-24.464,-6.881,-100.683,-43.831
7.362,-7.284,-31.808,6.409,-92.91,-36.528,-8.139,10.379,-24.468,-6.876,-100.678,-43.828
7.354,-7.293,-31.807,6.408,-92.907,-36.514,-8.127,10.379,-24.471,-6.856,-100.671,-43.824
7.345,-7.304,-31.805,6.384,-92.902,-36.521,-8.124,10.377,-24.475,-6.849,-100.67,-43.826
7.356,-7.311,-31.799,6.37,-92.9,-36.535,-8.113,10.382,-24.479,-6.84,-100.645,-43.827
7.347,-7.322,-31.797,6.356,-92.874,-36.527,-8.118,10.384,-24.478,-6.828,-100.639,-43.833
7.342,-7.317,-31.79,6.365,-92.878,-36.535,-8.122,10.385,-24.479,-6.817,-100.623,-43.835
7.34,-7.323,-31.786,6.354,-92.886,-36.539,-8.123,10.388,-24.479,-6.831,-100.622,-43.842
7.348,-7.33,-31.774,6.355,-92.874,-36.542,-8.121,10.387,-24.482,-6.844,-100.618,-43.843
7.328,-7.333,-31.777,6.358,-92.879,-36.543,-8.128,10.391,-24.482,-6.85,-100.616,-43.848
7.333,-7.349,-31.773,6.355,-92.852,-36.541,-8.127,10.393,-24.482,-6.862,-100.607,-43.846
7.323,-7.362,-31.769,6.349,-92.838,-36.539,-8.106,10.403,-24.482,-6.865,-100.606,-43.85
7.318,-7.369,-31.76,6.351,-92.853,-36.533,-8.098,10.409,-24.482,-6.879,-100.601,-43.854
7.321,-7.367,-31.761,6.32,-92.842,-36.539,-8.07,10.418,-24.484,-6.896,-100.599,-43.839
7.315,-7.36,-31.766,6.328,-92.845,-36.537,-8.059,10.42,-24.491,-6.896,-100.585,-43.841
7.308,-7.377,-31.77,6.327,-92.833,-36.542,-8.062,10.425,-24.49,-6.9,-100.583,-43.866
7.306,-7.377,-31.769,6.33,-92.833,-36.54,-8.076,10.434,-24.485,-6.89,-100.584,-43.869
7.298,-7.377,-31.775,6.332,-92.839,-36.548,-8.083,10.436,-24.485,-6.887,-100.577,-43.871
7.289,-7.385,-31.769,6.333,-92.845,-36.546,-8.083,10.435,-24.486,-6.905,-100.57,-43.874
7.259,-7.373,-31.763,6.336,-92.839,-36.55,-8.084,10.436,-24.485,-6.925,-100.562,-43.869
7.258,-7.38,-31.761,6.335,-92.832,-36.551,-8.085,10.438,-24.483,-6.951,-100.534,-43.858
7.257,-7.38,-31.756,6.337,-92.824,-36.541,-8.094,10.438,-24.484,-6.98,-100.526,-43.858
7.247,-7.387,-31.754,6.319,-92.823,-36.548,-8.097,10.44,-24.482,-7.006,-100.506,-43.853
7.236,-7.407,-31.739,6.307,-92.806,-36.548,-8.094,10.441,-24.483,-6.991,-100.504,-43.852
7.248,-7.417,-31.729,6.313,-92.805,-36.54,-8.1,10.437,-24.485,-6.975,-100.489,-43.862
7.257,-7.415,-31.724,6.307,-92.812,-36.546,-8.093,10.434,-24.488,-6.965,-100.476,-43.867
7.239,-7.419,-31.724,6.306,-92.815,-36.548,-8.092,10.43,-24.494,-6.954,-100.478,-43.86
7.245,-7.42,-31.718,6.312,-92.82,-36.549,-8.087,10.426,-24.495,-6.957,-100.474,-43.853
7.244,-7.42,-31.711,6.324,-92.815,-36.547,-8.09,10.424,-24.497,-6.953,-100.466,-43.849
7.249,-7.417,-31.705,6.33,-92.81,-36.549,-8.086,10.427,-24.5,-6.956,-100.473,-43.856
7.247,-7.414,-31.705,6.33,-92.811,-36.557,-8.096,10.423,-24.501,-6.952,-100.479,-43.861
7.247,-7.411,-31.704,6.324,-92.815,-36.562,-8.096,10.423,-24.502,-6.944,-100.476,-43.87
7.248,-7.405,-31.702,6.31,-92.807,-36.559,-8.091,10.426,-24.502,-6.936,-100.472,-43.876
7.241,-7.41,-31.695,6.308,-92.813,-36.55,-8.089,10.426,-24.505,-6.949,-100.463,-43.882
7.242,-7.415,-31.689,6.294,-92.804,-36.55,-8.093,10.422,-24.509,-6.965,-100.462,-43.887
7.238,-7.417,-31.684,6.288,-92.807,-36.554,-8.09,10.418,-24.517,-6.991,-100.455,-43.885
