p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
5.034,-26.807,-34.679,4.976,-85.164,-34.616,-8.876,0.129,-28.3,-9.431,-96.974,-44.341
5.003,-26.795,-34.676,4.977,-85.16,-34.628,-8.87,0.129,-28.3,-9.428,-96.987,-44.338
5.009,-26.793,-34.662,4.967,-85.161,-34.667,-8.863,0.129,-28.304,-9.419,-96.993,-44.34
4.997,-26.778,-34.688,4.964,-85.161,-34.691,-8.87,0.128,-28.304,-9.402,-96.996,-44.338
4.987,-26.787,-34.665,4.974,-85.161,-34.719,-8.879,0.126,-28.305,-9.386,-96.998,-44.334
4.993,-26.791,-34.697,4.987,-85.162,-34.701,-8.899,0.126,-28.307,-9.377,-97,-44.343
4.973,-26.79,-34.678,4.99,-85.161,-34.707,-8.911,0.126,-28.307,-9.366,-97.011,-44.339
4.933,-26.799,-34.686,4.987,-85.163,-34.688,-8.92,0.132,-28.308,-9.373,-97.016,-44.336
4.939,-26.791,-34.664,4.985,-85.164,-34.69,-8.906,0.139,-28.313,-9.37,-97.018,-44.343
4.899,-26.79,-34.695,5.003,-85.167,-34.648,-8.901,0.145,-28.322,-9.361,-97.022,-44.346
4.879,-26.774,-34.731,5.045,-85.162,-34.64,-8.91,0.146,-28.326,-9.345,-97.019,-44.352
4.877,-26.771,-34.739,5.081,-85.164,-34.628,-8.917,0.152,-28.33,-9.323,-97.017,-44.352
4.854,-26.763,-34.773,5.09,-85.158,-34.648,-8.904,0.155,-28.33,-9.335,-97.013,-44.347
4.836,-26.749,-34.784,5.081,-85.169,-34.647,-8.908,0.153,-28.334,-9.343,-97.014,-44.339
4.835,-26.74,-34.762,5.072,-85.176,-34.652,-8.905,0.157,-28.34,-9.348,-97.009,-44.342
4.829,-26.743,-34.754,5.08,-85.184,-34.672,-8.908,0.154,-28.345,-9.359,-97.008,-44.344
4.829,-26.745,-34.763,5.085,-85.193,-34.654,-8.891,0.155,-28.35,-9.363,-97.013,-44.347
4.831,-26.736,-34.768,5.087,-85.192,-34.665,-8.904,0.154,-28.35,-9.368,-97.004,-44.351
4.83,-26.736,-34.739,5.112,-85.203,-34.667,-8.889,0.152,-28.353,-9.363,-96.998,-44.349
4.796,-26.737,-34.719,5.109,-85.238,-34.676,-8.891,0.153,-28.356,-9.375,-96.997,-44.348
4.781,-26.736,-34.74,5.101,-85.24,-34.682,-8.895,0.154,-28.358,-9.384,-96.995,-44.346
4.772,-26.737,-34.753,5.093,-85.237,-34.71,-8.89,0.153,-28.36,-9.401,-96.996,-44.339
4.753,-26.731,-34.726,5.096,-85.234,-34.74,-8.884,0.151,-28.364,-9.399,-96.984,-44.34
4.764,-26.735,-34.734,5.082,-85.231,-34.72,-8.87,0.149,-28.366,-9.395,-96.99,-44.342
4.757,-26.747,-34.697,5.082,-85.237,-34.702,-8.869,0.146,-28.369,-9.4,-96.992,-44.344
4.76,-26.753,-34.688,5.088,-85.244,-34.702,-8.854,0.146,-28.375,-9.412,-96.993,-44.338
4.744,-26.761,-34.705,5.096,-85.251,-34.696,-8.851,0.151,-28.38,-9.415,-96.978,-44.346
4.755,-26.773,-34.664,5.103,-85.266,-34.726,-8.826,0.162,-28.385,-9.43,-96.984,-44.351
4.763,-26.787,-34.696,5.102,-85.278,-34.719,-8.846,0.155,-28.383,-9.432,-96.977,-44.353
4.768,-26.794,-34.672,5.103,-85.302,-34.723,-8.839,0.151,-28.385,-9.448,-96.975,-44.348
4.782,-26.807,-34.645,5.099,-85.305,-34.691,-8.848,0.151,-28.386,-9.452,-96.97,-44.335
4.792,-26.81,-34.663,5.091,-85.298,-34.694,-8.845,0.147,-28.392,-9.447,-96.967,-44.333
4.79,-26.813,-34.666,5.083,-85.298,-34.681,-8.848,0.147,-28.394,-9.432,-96.964,-44.335
4.806,-26.823,-34.651,5.087,-85.297,-34.664,-8.844,0.148,-28.396,-9.418,-96.967,-44.344
4.79,-26.83,-34.598,5.102,-85.307,-34.668,-8.871,0.143,-28.391,-9.404,-96.971,-44.347
4.767,-26.834,-34.584,5.102,-85.31,-34.683,-8.884,0.14,-28.388,-9.394,-96.981,-44.346
4.793,-26.854,-34.584,5.098,-85.316,-34.695,-8.901,0.139,-28.387,-9.39,-96.977,-44.341
4.801,-26.851,-34.561,5.111,-85.319,-34.705,-8.948,0.128,-28.377,-9.396,-96.966,-44.341
4.784,-26.852,-34.564,5.115,-85.321,-34.649,-8.944,0.126,-28.376,-9.394,-96.971,-44.339
4.806,-26.852,-34.543,5.11,-85.314,-34.632,-8.942,0.127,-28.381,-9.392,-96.967,-44.33
4.812,-26.856,-34.535,5.09,-85.314,-34.602,-8.949,0.137,-28.381,-9.374,-96.976,-44.324
4.817,-26.858,-34.527,5.096,-85.317,-34.613,-8.933,0.136,-28.388,-9.357,-96.969,-44.327
4.813,-26.854,-34.524,5.108,-85.314,-34.63,-8.947,0.136,-28.39,-9.348,-96.96,-44.324
4.813,-26.844,-34.528,5.123,-85.304,-34.641,-8.948,0.128,-28.391,-9.341,-96.952,-44.31
4.804,-26.845,-34.495,5.124,-85.302,-34.642,-8.946,0.121,-28.387,-9.321,-96.946,-44.304
4.793,-26.85,-34.504,5.129,-85.317,-34.636,-8.962,0.111,-28.384,-9.336,-96.946,-44.298
4.774,-26.851,-34.503,5.158,-85.328,-34.573,-8.976,0.11,-28.385,-9.346,-96.944,-44.297
4.749,-26.857,-34.484,5.165,-85.316,-34.566,-8.967,0.115,-28.389,-9.358,-96.941,-44.297
4.747,-26.87,-34.461,5.172,-85.324,-34.555,-8.952,0.117,-28.394,-9.366,-96.939,-44.301
4.743,-26.856,-34.459,5.183,-85.321,-34.536,-8.939,0.121,-28.397,-9.375,-96.936,-44.307
4.742,-26.857,-34.452,5.181,-85.316,-34.56,-8.938,0.12,-28.4,-9.38,-96.931,-44.315
4.714,-26.871,-34.453,5.178,-85.319,-34.586,-8.942,0.121,-28.402,-9.373,-96.932,-44.32
4.707,-26.872,-34.426,5.166,-85.324,-34.57,-8.936,0.123,-28.405,-9.374,-96.932,-44.319
4.7,-26.859,-34.441,5.166,-85.323,-34.551,-8.924,0.125,-28.406,-9.378,-96.932,-44.324
4.687,-26.834,-34.427,5.171,-85.314,-34.542,-8.892,0.116,-28.412,-9.393,-96.93,-44.318
4.687,-26.842,-34.385,5.168,-85.314,-34.563,-8.901,0.121,-28.412,-9.41,-96.927,-44.319
4.706,-26.848,-34.351,5.164,-85.304,-34.553,-8.887,0.124,-28.421,-9.415,-96.924,-44.329
4.713,-26.842,-34.359,5.157,-85.298,-34.535,-8.871,0.137,-28.429,-9.399,-96.929,-44.331
4.704,-26.843,-34.346,5.153,-85.295,-34.556,-8.856,0.125,-28.438,-9.402,-96.93,-44.333
4.706,-26.851,-34.325,5.15,-85.293,-34.559,-8.864,0.116,-28.437,-9.409,-96.93,-44.334
4.699,-26.853,-34.342,5.16,-85.288,-34.54,-8.872,0.118,-28.441,-9.405,-96.926,-44.337
4.7,-26.855,-34.343,5.168,-85.289,-34.55,-8.866,0.121,-28.444,-9.394,-96.927,-44.329
4.709,-26.856,-34.317,5.183,-85.282,-34.572,-8.874,0.118,-28.449,-9.392,-96.924,-44.332
4.724,-26.862,-34.332,5.201,-85.272,-34.577,-8.867,0.117,-28.454,-9.391,-96.919,-44.332
4.727,-26.869,-34.317,5.201,-85.256,-34.597,-8.876,0.119,-28.454,-9.381,-96.915,-44.329
4.735,-26.878,-34.349,5.186,-85.256,-34.614,-8.876,0.12,-28.458,-9.363,-96.916,-44.321
4.742,-26.896,-34.333,5.204,-85.259,-34.623,-8.883,0.124,-28.46,-9.342,-96.913,-44.323
4.758,-26.921,-34.304,5.191,-85.261,-34.635,-8.882,0.124,-28.463,-9.327,-96.894,-44.327
4.779,-26.927,-34.324,5.192,-85.261,-34.615,-8.891,0.119,-28.462,-9.298,-96.906,-44.326
4.775,-26.916,-34.305,5.183,-85.256,-34.594,-8.893,0.124,-28.463,-9.282,-96.897,-44.324
4.787,-26.914,-34.263,5.182,-85.245,-34.588,-8.89,0.124,-28.465,-9.302,-96.89,-44.319
4.791,-26.935,-34.242,5.189,-85.239,-34.559,-8.892,0.125,-28.469,-9.315,-96.885,-44.313
4.792,-26.933,-34.231,5.194,-85.223,-34.56,-8.898,0.125,-28.471,-9.329,-96.873,-44.313
4.795,-26.919,-34.217,5.202,-85.194,-34.541,-8.895,0.126,-28.474,-9.344,-96.873,-44.308
4.819,-26.91,-34.22,5.204,-85.124,-34.523,-8.901,0.125,-28.475,-9.354,-96.872,-44.312
4.84,-26.906,-34.199,5.138,-85.057,-34.547,-8.908,0.13,-28.472,-9.365,-96.879,-44.31
4.841,-26.902,-34.187,5.171,-84.999,-34.57,-8.921,0.125,-28.472,-9.378,-96.885,-44.308
4.847,-26.9,-34.185,5.163,-84.909,-34.617,-8.923,0.124,-28.474,-9.373,-96.894,-44.31
4.867,-26.902,-34.172,5.094,-84.873,-34.622,-8.924,0.121,-28.478,-9.365,-96.9,-44.303
4.894,-26.9,-34.14,5.138,-84.803,-34.65,-8.96,0.109,-28.478,-9.361,-96.897,-44.305
4.883,-26.904,-34.159,5.087,-84.684,-34.736,-8.986,0.092,-28.473,-9.361,-96.901,-44.306
4.861,-26.894,-34.127,5.005,-84.597,-34.786,-8.978,0.102,-28.48,-9.363,-96.907,-44.299
4.864,-26.89,-34.09,4.991,-84.462,-34.841,-8.979,0.098,-28.488,-9.362,-96.898,-44.298
4.87,-26.898,-34.129,4.993,-84.277,-34.912,-8.978,0.092,-28.49,-9.356,-96.907,-44.288
4.874,-26.891,-34.087,5.039,-84.262,-35.003,-9.004,0.094,-28.488,-9.357,-96.912,-44.284
4.896,-26.897,-34.072,4.992,-84.158,-35.046,-8.993,0.094,-28.492,-9.367,-96.917,-44.272
4.931,-26.903,-34.036,4.985,-83.944,-35.129,-8.973,0.097,-28.496,-9.363,-96.922,-44.255
4.926,-26.918,-33.974,4.957,-83.753,-35.229,-8.956,0.1,-28.503,-9.388,-96.947,-44.237
4.944,-26.931,-33.897,4.842,-83.575,-35.36,-8.934,0.099,-28.516,-9.395,-96.96,-44.229
4.955,-26.948,-33.806,4.873,-83.407,-35.49,-8.936,0.094,-28.523,-9.403,-96.955,-44.231
4.922,-26.978,-33.728,4.765,-83.15,-35.636,-8.936,0.09,-28.531,-9.398,-96.954,-44.206
