p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
8.654,-7.784,-35.632,8.774,-89.83,-35.009,-8.074,12.351,-22.321,-9.808,-99.212,-53.081
8.664,-7.796,-35.614,8.762,-89.826,-35.011,-8.095,12.361,-22.308,-9.807,-99.212,-53.082
8.664,-7.799,-35.607,8.752,-89.828,-34.991,-8.093,12.363,-22.306,-9.809,-99.211,-53.082
8.669,-7.811,-35.584,8.749,-89.815,-34.969,-8.095,12.36,-22.307,-9.808,-99.211,-53.082
8.688,-7.816,-35.582,8.75,-89.817,-34.97,-8.093,12.359,-22.308,-9.806,-99.21,-53.083
8.695,-7.822,-35.58,8.742,-89.818,-34.945,-8.09,12.361,-22.308,-9.805,-99.209,-53.084
8.695,-7.83,-35.598,8.744,-89.818,-34.908,-8.09,12.355,-22.313,-9.803,-99.21,-53.084
8.696,-7.833,-35.608,8.75,-89.815,-34.881,-8.091,12.355,-22.316,-9.805,-99.21,-53.084
8.687,-7.827,-35.62,8.759,-89.823,-34.861,-8.085,12.355,-22.319,-9.804,-99.208,-53.084
8.686,-7.827,-35.625,8.754,-89.812,-34.863,-8.083,12.35,-22.324,-9.803,-99.209,-53.084
8.684,-7.824,-35.635,8.748,-89.809,-34.889,-8.084,12.346,-22.328,-9.804,-99.209,-53.083
8.682,-7.822,-35.666,8.759,-89.807,-34.871,-8.081,12.347,-22.327,-9.8,-99.209,-53.081
8.684,-7.823,-35.681,8.764,-89.8,-34.904,-8.084,12.342,-22.33,-9.801,-99.212,-53.08
8.684,-7.833,-35.697,8.753,-89.797,-34.894,-8.088,12.34,-22.328,-9.801,-99.212,-53.079
8.68,-7.831,-35.688,8.765,-89.799,-34.861,-8.088,12.339,-22.325,-9.8,-99.211,-53.08
8.678,-7.832,-35.71,8.765,-89.796,-34.873,-8.09,12.332,-22.327,-9.786,-99.218,-53.077
8.68,-7.84,-35.723,8.76,-89.795,-34.864,-8.089,12.334,-22.323,-9.769,-99.227,-53.074
8.689,-7.84,-35.729,8.766,-89.797,-34.864,-8.081,12.317,-22.329,-9.751,-99.24,-53.065
8.699,-7.845,-35.721,8.794,-89.796,-34.831,-8.084,12.314,-22.327,-9.753,-99.243,-53.068
8.693,-7.855,-35.721,8.82,-89.777,-34.871,-8.083,12.318,-22.318,-9.753,-99.247,-53.068
8.694,-7.853,-35.714,8.822,-89.764,-34.854,-8.081,12.317,-22.316,-9.742,-99.25,-53.061
8.697,-7.851,-35.743,8.814,-89.752,-34.865,-8.085,12.318,-22.312,-9.743,-99.251,-53.063
8.693,-7.844,-35.764,8.813,-89.746,-34.865,-8.083,12.321,-22.307,-9.749,-99.254,-53.067
8.683,-7.844,-35.784,8.811,-89.742,-34.863,-8.081,12.325,-22.301,-9.748,-99.257,-53.067
8.678,-7.843,-35.809,8.795,-89.741,-34.87,-8.076,12.325,-22.297,-9.745,-99.261,-53.065
8.67,-7.846,-35.8,8.801,-89.726,-34.861,-8.073,12.325,-22.292,-9.742,-99.261,-53.063
8.671,-7.851,-35.804,8.802,-89.724,-34.913,-8.071,12.325,-22.291,-9.741,-99.26,-53.063
8.661,-7.847,-35.803,8.794,-89.716,-34.928,-8.073,12.333,-22.28,-9.739,-99.26,-53.065
8.665,-7.862,-35.799,8.782,-89.681,-34.928,-8.068,12.325,-22.285,-9.739,-99.265,-53.069
8.665,-7.896,-35.803,8.799,-89.678,-34.95,-8.07,12.326,-22.282,-9.738,-99.275,-53.071
8.664,-7.896,-35.827,8.784,-89.676,-34.947,-8.072,12.331,-22.278,-9.743,-99.266,-53.071
8.682,-7.922,-35.803,8.781,-89.677,-34.972,-8.072,12.33,-22.279,-9.748,-99.261,-53.073
8.688,-7.934,-35.824,8.782,-89.688,-34.968,-8.071,12.331,-22.28,-9.753,-99.257,-53.074
8.689,-7.929,-35.777,8.791,-89.693,-34.961,-8.074,12.332,-22.281,-9.757,-99.251,-53.075
8.701,-7.929,-35.765,8.787,-89.695,-34.987,-8.074,12.331,-22.283,-9.766,-99.247,-53.073
8.698,-7.927,-35.78,8.788,-89.698,-34.992,-8.074,12.33,-22.286,-9.771,-99.241,-53.072
8.688,-7.924,-35.773,8.81,-89.707,-34.984,-8.073,12.33,-22.287,-9.785,-99.231,-53.071
8.696,-7.923,-35.779,8.826,-89.702,-34.975,-8.081,12.329,-22.287,-9.791,-99.232,-53.072
8.713,-7.923,-35.776,8.833,-89.696,-34.978,-8.076,12.326,-22.291,-9.798,-99.233,-53.075
8.71,-7.919,-35.77,8.834,-89.687,-35.022,-8.077,12.326,-22.29,-9.801,-99.231,-53.07
8.721,-7.933,-35.745,8.834,-89.695,-34.984,-8.074,12.324,-22.293,-9.797,-99.228,-53.069
