p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
7.772,-12.05,-34.661,8.149,-93.568,-35.894,-7.074,4.921,-33.745,-3.308,-102.446,-49.062
7.763,-12.058,-34.68,8.114,-93.54,-35.898,-7.074,4.919,-33.749,-3.313,-102.45,-49.055
7.748,-12.049,-34.683,8.112,-93.477,-35.909,-7.102,4.904,-33.742,-3.312,-102.45,-49.055
7.758,-12.055,-34.696,8.072,-93.496,-35.914,-7.091,4.901,-33.735,-3.316,-102.45,-49.046
7.75,-12.049,-34.728,8.064,-93.48,-35.917,-7.087,4.895,-33.729,-3.311,-102.453,-49.043
7.769,-12.034,-34.736,8.092,-93.457,-35.906,-7.084,4.895,-33.727,-3.32,-102.45,-49.043
7.774,-12.037,-34.748,8.082,-93.45,-35.916,-7.073,4.897,-33.729,-3.326,-102.445,-49.038
7.784,-12.015,-34.757,8.08,-93.41,-35.928,-7.073,4.895,-33.727,-3.333,-102.44,-49.027
7.783,-12.015,-34.778,8.061,-93.406,-35.926,-7.073,4.898,-33.727,-3.345,-102.433,-49.023
7.791,-12.01,-34.771,8.053,-93.396,-35.926,-7.069,4.892,-33.725,-3.339,-102.436,-49.02
7.788,-12.015,-34.769,8.069,-93.346,-35.941,-7.069,4.892,-33.724,-3.335,-102.431,-49.014
7.775,-12.015,-34.784,8.042,-93.306,-35.952,-7.067,4.888,-33.726,-3.335,-102.426,-49.004
7.768,-12.013,-34.8,8.063,-93.233,-35.963,-7.059,4.889,-33.73,-3.33,-102.414,-48.995
7.772,-12.018,-34.803,8.089,-93.206,-35.952,-7.06,4.882,-33.729,-3.326,-102.414,-48.993
7.761,-12.023,-34.806,8.123,-93.221,-35.947,-7.057,4.876,-33.73,-3.32,-102.417,-48.987
7.758,-12.023,-34.808,8.102,-93.233,-35.949,-7.034,4.87,-33.734,-3.31,-102.426,-48.981
7.778,-12.011,-34.822,8.096,-93.221,-35.96,-7.048,4.873,-33.738,-3.306,-102.424,-48.976
7.788,-11.99,-34.841,8.08,-93.192,-35.972,-7.048,4.872,-33.74,-3.304,-102.423,-48.976
7.793,-11.975,-34.848,8.08,-93.168,-35.98,-7.055,4.873,-33.737,-3.296,-102.426,-48.967
7.784,-11.975,-34.865,8.08,-93.178,-35.975,-7.049,4.871,-33.732,-3.308,-102.424,-48.965
7.79,-11.995,-34.868,8.062,-93.16,-35.986,-7.053,4.875,-33.732,-3.305,-102.43,-48.958
7.792,-11.998,-34.867,8.066,-93.139,-35.984,-7.056,4.867,-33.734,-3.299,-102.414,-48.946
7.794,-12.001,-34.865,8.068,-93.087,-36.007,-7.051,4.868,-33.731,-3.291,-102.399,-48.938
7.796,-12.001,-34.864,8.06,-93.084,-35.999,-7.041,4.86,-33.738,-3.292,-102.401,-48.93
7.793,-12.004,-34.871,8.047,-93.068,-36.005,-7.026,4.853,-33.731,-3.287,-102.396,-48.921
7.791,-12.001,-34.881,8.074,-93.05,-35.993,-7.027,4.861,-33.724,-3.285,-102.403,-48.919
7.795,-12.002,-34.89,8.163,-92.985,-35.991,-7.025,4.863,-33.727,-3.291,-102.393,-48.908
7.793,-12.003,-34.892,8.205,-92.922,-36.003,-7.028,4.862,-33.725,-3.279,-102.385,-48.896
7.79,-11.999,-34.897,8.229,-92.855,-36.013,-7.035,4.863,-33.725,-3.282,-102.368,-48.883
7.769,-11.991,-34.908,8.221,-92.786,-36.014,-7.028,4.859,-33.726,-3.295,-102.357,-48.878
7.751,-11.986,-34.922,8.197,-92.782,-36.018,-7.02,4.845,-33.715,-3.294,-102.362,-48.877
7.754,-11.979,-34.932,8.193,-92.751,-36.038,-7.025,4.851,-33.716,-3.295,-102.359,-48.869
7.744,-11.982,-34.939,8.173,-92.767,-36.043,-7.018,4.85,-33.718,-3.291,-102.351,-48.862
7.748,-11.984,-34.948,8.138,-92.75,-36.078,-7.028,4.858,-33.72,-3.304,-102.343,-48.859
7.734,-11.975,-34.945,8.129,-92.746,-36.077,-7.031,4.854,-33.723,-3.306,-102.326,-48.849
7.744,-11.974,-34.942,8.088,-92.733,-36.086,-7.034,4.853,-33.723,-3.294,-102.319,-48.842
