p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
8.526,-5.802,-34.871,8.65,-90.934,-35.132,-7.376,12.141,-20.929,-10.069,-102.149,-50.579
8.527,-5.803,-34.868,8.65,-90.941,-35.13,-7.399,12.142,-20.924,-10.063,-102.148,-50.576
8.526,-5.809,-34.868,8.638,-90.942,-35.131,-7.414,12.14,-20.921,-10.051,-102.145,-50.57
8.523,-5.818,-34.871,8.649,-90.939,-35.134,-7.404,12.139,-20.922,-10.047,-102.137,-50.564
8.522,-5.814,-34.876,8.657,-90.936,-35.143,-7.406,12.141,-20.919,-10.043,-102.142,-50.56
8.522,-5.812,-34.877,8.66,-90.942,-35.146,-7.411,12.139,-20.918,-10.049,-102.136,-50.554
8.522,-5.818,-34.878,8.676,-90.95,-35.14,-7.41,12.139,-20.916,-10.044,-102.138,-50.546
8.515,-5.814,-34.876,8.675,-90.969,-35.127,-7.406,12.138,-20.915,-10.034,-102.139,-50.543
8.516,-5.816,-34.872,8.686,-90.999,-35.129,-7.4,12.137,-20.919,-10.031,-102.141,-50.537
8.518,-5.822,-34.869,8.682,-91.043,-35.129,-7.393,12.136,-20.92,-10.025,-102.136,-50.535
8.526,-5.821,-34.864,8.703,-91.06,-35.119,-7.388,12.137,-20.92,-10.024,-102.144,-50.531
8.532,-5.819,-34.862,8.727,-91.078,-35.12,-7.388,12.139,-20.921,-10.018,-102.145,-50.528
8.534,-5.823,-34.86,8.711,-91.091,-35.123,-7.376,12.138,-20.924,-10.022,-102.15,-50.528
8.547,-5.828,-34.854,8.752,-91.1,-35.104,-7.373,12.137,-20.927,-10.031,-102.149,-50.526
8.551,-5.837,-34.858,8.773,-91.091,-35.096,-7.362,12.139,-20.931,-10.039,-102.15,-50.523
8.564,-5.84,-34.851,8.757,-91.117,-35.106,-7.359,12.141,-20.934,-10.048,-102.154,-50.524
8.578,-5.839,-34.85,8.733,-91.115,-35.114,-7.341,12.144,-20.938,-10.057,-102.159,-50.526
8.591,-5.847,-34.845,8.742,-91.13,-35.12,-7.348,12.143,-20.937,-10.076,-102.158,-50.532
8.596,-5.862,-34.846,8.747,-91.142,-35.116,-7.351,12.142,-20.937,-10.078,-102.154,-50.533
8.597,-5.873,-34.847,8.74,-91.166,-35.111,-7.359,12.142,-20.936,-10.084,-102.15,-50.535
8.598,-5.868,-34.849,8.781,-91.191,-35.088,-7.36,12.14,-20.936,-10.082,-102.154,-50.538
8.615,-5.866,-34.854,8.772,-91.215,-35.082,-7.362,12.143,-20.933,-10.089,-102.156,-50.535
8.632,-5.874,-34.856,8.772,-91.244,-35.07,-7.369,12.146,-20.929,-10.093,-102.153,-50.534
8.631,-5.872,-34.865,8.764,-91.238,-35.079,-7.381,12.15,-20.925,-10.093,-102.148,-50.53
8.636,-5.866,-34.862,8.782,-91.261,-35.064,-7.383,12.151,-20.924,-10.094,-102.145,-50.53
8.631,-5.869,-34.863,8.783,-91.297,-35.064,-7.39,12.154,-20.922,-10.1,-102.147,-50.531
8.627,-5.866,-34.86,8.784,-91.306,-35.049,-7.401,12.154,-20.922,-10.106,-102.143,-50.53
8.623,-5.862,-34.857,8.796,-91.305,-35.044,-7.398,12.155,-20.922,-10.101,-102.146,-50.533
8.618,-5.86,-34.857,8.783,-91.298,-35.055,-7.387,12.155,-20.923,-10.096,-102.146,-50.535
8.61,-5.858,-34.855,8.793,-91.317,-35.044,-7.396,12.158,-20.922,-10.088,-102.146,-50.531
8.599,-5.853,-34.854,8.82,-91.355,-35.043,-7.4,12.16,-20.919,-10.08,-102.143,-50.53
8.592,-5.853,-34.857,8.813,-91.356,-35.039,-7.424,12.163,-20.914,-10.075,-102.14,-50.527
8.597,-5.852,-34.855,8.817,-91.381,-35.024,-7.431,12.169,-20.912,-10.074,-102.142,-50.527
8.598,-5.852,-34.857,8.829,-91.394,-35.029,-7.423,12.166,-20.916,-10.071,-102.144,-50.526
8.59,-5.851,-34.855,8.828,-91.403,-35.019,-7.419,12.163,-20.92,-10.071,-102.14,-50.526
8.58,-5.848,-34.856,8.837,-91.422,-35.025,-7.42,12.165,-20.919,-10.069,-102.14,-50.526
8.575,-5.841,-34.851,8.803,-91.449,-35.021,-7.414,12.165,-20.921,-10.062,-102.139,-50.524
8.569,-5.832,-34.854,8.823,-91.441,-35.026,-7.413,12.162,-20.923,-10.051,-102.136,-50.52
8.576,-5.82,-34.852,8.817,-91.45,-35.026,-7.395,12.159,-20.927,-10.048,-102.134,-50.525
8.564,-5.814,-34.849,8.812,-91.453,-35.053,-7.381,12.156,-20.933,-10.04,-102.136,-50.521
8.536,-5.803,-34.859,8.846,-91.457,-35.033,-7.378,12.156,-20.935,-10.044,-102.143,-50.525
8.533,-5.801,-34.858,8.873,-91.474,-35.007,-7.379,12.155,-20.936,-10.048,-102.145,-50.528
8.524,-5.78,-34.863,8.885,-91.466,-35.001,-7.369,12.151,-20.941,-10.048,-102.143,-50.525
8.526,-5.785,-34.864,8.877,-91.485,-35.003,-7.347,12.151,-20.944,-10.051,-102.141,-50.528
8.53,-5.793,-34.864,8.901,-91.525,-34.978,-7.317,12.152,-20.951,-10.056,-102.144,-50.529
8.529,-5.791,-34.865,8.894,-91.529,-34.97,-7.328,12.157,-20.95,-10.065,-102.144,-50.534
8.53,-5.795,-34.868,8.883,-91.536,-34.964,-7.327,12.155,-20.949,-10.068,-102.144,-50.537
8.537,-5.8,-34.868,8.873,-91.546,-34.968,-7.329,12.155,-20.947,-10.066,-102.146,-50.539
8.542,-5.802,-34.871,8.863,-91.575,-34.971,-7.337,12.156,-20.943,-10.066,-102.142,-50.541
8.547,-5.803,-34.87,8.899,-91.616,-34.958,-7.341,12.154,-20.939,-10.069,-102.142,-50.547
8.551,-5.81,-34.866,8.853,-91.623,-34.976,-7.345,12.152,-20.937,-10.074,-102.144,-50.55
8.551,-5.817,-34.865,8.837,-91.641,-34.978,-7.346,12.148,-20.936,-10.08,-102.15,-50.552
8.555,-5.82,-34.863,8.834,-91.668,-34.969,-7.354,12.147,-20.934,-10.082,-102.147,-50.557
8.554,-5.821,-34.862,8.801,-91.704,-34.975,-7.371,12.153,-20.928,-10.075,-102.151,-50.561
8.56,-5.825,-34.858,8.798,-91.694,-34.966,-7.388,12.153,-20.922,-10.076,-102.151,-50.56
8.563,-5.829,-34.854,8.796,-91.714,-34.952,-7.382,12.152,-20.924,-10.076,-102.15,-50.559
8.562,-5.828,-34.853,8.78,-91.71,-34.957,-7.384,12.151,-20.924,-10.076,-102.149,-50.561
8.562,-5.829,-34.855,8.777,-91.711,-34.951,-7.387,12.149,-20.925,-10.075,-102.153,-50.563
8.572,-5.84,-34.853,8.77,-91.729,-34.944,-7.382,12.15,-20.925,-10.069,-102.153,-50.563
8.591,-5.84,-34.848,8.788,-91.749,-34.928,-7.371,12.15,-20.929,-10.066,-102.15,-50.561
8.592,-5.836,-34.846,8.806,-91.74,-34.932,-7.38,12.154,-20.928,-10.064,-102.15,-50.557
8.596,-5.832,-34.844,8.837,-91.759,-34.92,-7.378,12.155,-20.929,-10.062,-102.145,-50.556
8.59,-5.832,-34.85,8.827,-91.755,-34.928,-7.373,12.157,-20.932,-10.059,-102.145,-50.555
8.597,-5.834,-34.852,8.808,-91.755,-34.943,-7.371,12.159,-20.935,-10.048,-102.138,-50.554
8.601,-5.833,-34.85,8.808,-91.771,-34.931,-7.367,12.161,-20.936,-10.031,-102.135,-50.549
8.599,-5.834,-34.841,8.788,-91.766,-34.932,-7.376,12.159,-20.937,-10.028,-102.133,-50.54
8.589,-5.831,-34.839,8.797,-91.768,-34.918,-7.379,12.16,-20.938,-10.032,-102.124,-50.536
8.578,-5.836,-34.834,8.794,-91.772,-34.918,-7.374,12.157,-20.942,-10.028,-102.12,-50.539
8.579,-5.841,-34.822,8.785,-91.791,-34.908,-7.366,12.156,-20.946,-10.024,-102.121,-50.542
8.575,-5.843,-34.819,8.785,-91.811,-34.894,-7.369,12.158,-20.946,-10.025,-102.118,-50.542
8.576,-5.849,-34.803,8.804,-91.849,-34.894,-7.365,12.159,-20.949,-10.027,-102.119,-50.545
8.582,-5.842,-34.788,8.805,-91.853,-34.899,-7.366,12.159,-20.951,-10.033,-102.118,-50.547
8.595,-5.849,-34.759,8.798,-91.85,-34.893,-7.381,12.161,-20.946,-10.034,-102.118,-50.544
8.607,-5.87,-34.723,8.801,-91.838,-34.891,-7.377,12.162,-20.948,-10.038,-102.118,-50.551
8.648,-5.887,-34.665,8.809,-91.84,-34.881,-7.373,12.163,-20.949,-10.041,-102.118,-50.554
8.641,-5.878,-34.619,8.814,-91.845,-34.868,-7.386,12.165,-20.949,-10.041,-102.12,-50.557
8.636,-5.894,-34.561,8.812,-91.86,-34.864,-7.388,12.165,-20.95,-10.04,-102.117,-50.558
8.686,-5.931,-34.466,8.813,-91.862,-34.843,-7.386,12.165,-20.952,-10.044,-102.114,-50.564
8.705,-5.977,-34.4,8.83,-91.85,-34.834,-7.398,12.169,-20.95,-10.047,-102.118,-50.567
8.721,-5.984,-34.325,8.837,-91.842,-34.831,-7.405,12.173,-20.952,-10.048,-102.119,-50.566
8.741,-6.027,-34.239,8.851,-91.846,-34.816,-7.411,12.176,-20.954,-10.048,-102.12,-50.566
8.709,-6.034,-34.133,8.863,-91.834,-34.805,-7.416,12.178,-20.956,-10.051,-102.123,-50.564
8.773,-6.093,-34.02,8.867,-91.813,-34.798,-7.408,12.18,-20.96,-10.059,-102.125,-50.569
8.751,-6.109,-33.888,8.863,-91.797,-34.797,-7.402,12.181,-20.963,-10.065,-102.124,-50.569
8.804,-6.144,-33.761,8.858,-91.784,-34.807,-7.406,12.185,-20.967,-10.07,-102.123,-50.567
8.849,-6.191,-33.596,8.858,-91.759,-34.818,-7.391,12.191,-20.974,-10.078,-102.123,-50.566
8.879,-6.332,-33.435,8.834,-91.747,-34.831,-7.388,12.201,-20.982,-10.08,-102.123,-50.559
8.939,-6.418,-33.246,8.836,-91.727,-34.849,-7.356,12.209,-20.995,-10.084,-102.119,-50.562
8.985,-6.522,-33.046,8.834,-91.697,-34.861,-7.298,12.22,-21.014,-10.085,-102.124,-50.56
9.048,-6.571,-32.852,8.826,-91.636,-34.87,-7.284,12.219,-21.031,-10.08,-102.129,-50.555
9.056,-6.659,-32.649,8.813,-91.543,-34.901,-7.284,12.228,-21.036,-10.07,-102.133,-50.547
9.087,-6.8,-32.456,8.827,-91.456,-34.915,-7.297,12.233,-21.039,-10.058,-102.139,-50.538
9.071,-6.926,-32.236,8.785,-91.391,-34.96,-7.282,12.245,-21.043,-10.052,-102.154,-50.525
9.117,-7.081,-31.992,8.79,-91.304,-34.982,-7.268,12.256,-21.052,-10.054,-102.17,-50.515
9.195,-7.268,-31.719,8.814,-91.283,-35.002,-7.281,12.256,-21.059,-10.051,-102.18,-50.505
9.215,-7.418,-31.461,8.819,-91.212,-35.058,-7.272,12.257,-21.061,-10.039,-102.182,-50.491
9.226,-7.608,-31.2,8.835,-91.124,-35.117,-7.245,12.261,-21.07,-10.024,-102.192,-50.473
9.267,-7.79,-30.888,8.815,-91.069,-35.143,-7.251,12.27,-21.063,-10.036,-102.189,-50.457
9.293,-7.946,-30.603,8.797,-90.945,-35.208,-7.235,12.267,-21.065,-10.04,-102.191,-50.45
9.277,-8.166,-30.289,8.749,-90.814,-35.271,-7.242,12.267,-21.064,-10.044,-102.192,-50.438
