0	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
1	T	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
2	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
3	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
4	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
5	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
6	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
7	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
8	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
9	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
10	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
11	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
12	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
13	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
14	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
15	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
16	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
17	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
18	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
19	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
20	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
21	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
22	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
23	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
24	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
25	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
26	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
27	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
